[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
[sound:k8-0977_活況.mp3]	活況 <br> かっきょう <br> activity, briskness, prosperity
activity, briskness, prosperity	活況 <br> かっきょう <br> [sound:k8-0977_活況.mp3]
活況	[sound:k8-0977_活況.mp3] <br> かっきょう <br> activity, briskness, prosperity
[sound:s8-0977_彼女は一生懸命働いています。.mp3]	<b>(一生懸命)</b> <br> 彼女は一生懸命働いています。<br> かのじょはいっしょうけんめいはたらいています。 <br> She is working hard.			
<b>(一生懸命)</b> <br> 彼女は一生懸命働いています。	[sound:s8-0977_彼女は一生懸命働いています。.mp3] <br> かのじょはいっしょうけんめいはたらいています。 <br> She is working hard.			
[sound:k8-0978_現況.mp3]	現況 <br> げんきょう <br> present condition
present condition	現況 <br> げんきょう <br> [sound:k8-0978_現況.mp3]
現況	[sound:k8-0978_現況.mp3] <br> げんきょう <br> present condition
[sound:s8-0978_運命は誰にも変えられない。.mp3]	<b>(運命)</b> <br> 運命は誰にも変えられない。<br> うんめいはだれにもかえられない。 <br> Fate cannot be changed by anyone.			
<b>(運命)</b> <br> 運命は誰にも変えられない。	[sound:s8-0978_運命は誰にも変えられない。.mp3] <br> うんめいはだれにもかえられない。 <br> Fate cannot be changed by anyone.			
[sound:k8-0979_戦況.mp3]	戦況 <br> せんきょう <br> war situation, progress of a battle
war situation, progress of a battle	戦況 <br> せんきょう <br> [sound:k8-0979_戦況.mp3]
戦況	[sound:k8-0979_戦況.mp3] <br> せんきょう <br> war situation, progress of a battle
[sound:s8-0979_彼は使命を果たすために奮闘している。.mp3]	<b>(使命)</b> <br> 彼は使命を果たすために奮闘している。<br> かれはしめいをはたすためにふんとうしている。 <br> He is striving to fulfill his mission.			
<b>(使命)</b> <br> 彼は使命を果たすために奮闘している。	[sound:s8-0979_彼は使命を果たすために奮闘している。.mp3] <br> かれはしめいをはたすためにふんとうしている。 <br> He is striving to fulfill his mission.			
[sound:k8-0980_音.mp3]	音 <br> (kun: おと, ね; on: オン, イン, -ノン) <br> sound, noise
sound, noise	音 <br> (kun: おと, ね; on: オン, イン, -ノン) <br> [sound:k8-0980_音.mp3]
音	[sound:k8-0980_音.mp3] <br> (kun: おと, ね; on: オン, イン, -ノン) <br> sound, noise
[sound:s8-0980_彼は政治的な理由から亡命した。.mp3]	<b>(亡命)</b> <br> 彼は政治的な理由から亡命した。<br> かれはせいじてきなりゆうからぼうめいした。 <br> He fled the country for political reasons.			
<b>(亡命)</b> <br> 彼は政治的な理由から亡命した。	[sound:s8-0980_彼は政治的な理由から亡命した。.mp3] <br> かれはせいじてきなりゆうからぼうめいした。 <br> He fled the country for political reasons.			
[sound:k8-0981_音.mp3]	音 <br> おと, ね, おん <br> sound, noise, report; note (music); fame; Chinese-derived character reading
sound, noise, report; note (music); fame; Chinese-derived character reading	音 <br> おと, ね, おん <br> [sound:k8-0981_音.mp3]
音	[sound:k8-0981_音.mp3] <br> おと, ね, おん <br> sound, noise, report; note (music); fame; Chinese-derived character reading
[sound:s8-0981_生命保険には多くの種類があります。.mp3]	<b>(生命保険)</b> <br> 生命保険には多くの種類があります。<br> せいめいほけんにはおおくのしゅるいがあります。 <br> There are many types of life insurance.			
<b>(生命保険)</b> <br> 生命保険には多くの種類があります。	[sound:s8-0981_生命保険には多くの種類があります。.mp3] <br> せいめいほけんにはおおくのしゅるいがあります。 <br> There are many types of life insurance.			
[sound:k8-0982_音楽.mp3]	音楽 <br> おんがく <br> music, musical movement
music, musical movement	音楽 <br> おんがく <br> [sound:k8-0982_音楽.mp3]
音楽	[sound:k8-0982_音楽.mp3] <br> おんがく <br> music, musical movement
[sound:s8-0982_その物語には深い意味が含まれている。.mp3]	<b>(含)</b> <br> その物語には深い意味が含まれている。<br> そのものがたりにはふかいいみがふくまれている。 <br> The story contains deep meaning.			
<b>(含)</b> <br> その物語には深い意味が含まれている。	[sound:s8-0982_その物語には深い意味が含まれている。.mp3] <br> そのものがたりにはふかいいみがふくまれている。 <br> The story contains deep meaning.			
[sound:k8-0983_本音.mp3]	本音 <br> ほんね <br> real intention, motive
real intention, motive	本音 <br> ほんね <br> [sound:k8-0983_本音.mp3]
本音	[sound:k8-0983_本音.mp3] <br> ほんね <br> real intention, motive
[sound:s8-0983_その言葉には暗い含みがある。.mp3]	<b>(含み)</b> <br> その言葉には暗い含みがある。<br> そのことばにはくらいふくみがある。 <br> The words have a dark implication.			
<b>(含み)</b> <br> その言葉には暗い含みがある。	[sound:s8-0983_その言葉には暗い含みがある。.mp3] <br> そのことばにはくらいふくみがある。 <br> The words have a dark implication.			
[sound:k8-0984_騒音.mp3]	騒音 <br> そうおん <br> noise
noise	騒音 <br> そうおん <br> [sound:k8-0984_騒音.mp3]
騒音	[sound:k8-0984_騒音.mp3] <br> そうおん <br> noise
[sound:s8-0984_この製品には有害物質が含有されています。.mp3]	<b>(含有)</b> <br> この製品には有害物質が含有されています。<br> このせいひんにはゆうがいぶっしつががんゆうされています。 <br> This product contains harmful substances.			
<b>(含有)</b> <br> この製品には有害物質が含有されています。	[sound:s8-0984_この製品には有害物質が含有されています。.mp3] <br> このせいひんにはゆうがいぶっしつががんゆうされています。 <br> This product contains harmful substances.			
[sound:k8-0985_音声.mp3]	音声 <br> おんせい, おんじょう <br> voice, (the concept of) sound
voice, (the concept of) sound	音声 <br> おんせい, おんじょう <br> [sound:k8-0985_音声.mp3]
音声	[sound:k8-0985_音声.mp3] <br> おんせい, おんじょう <br> voice, (the concept of) sound
[sound:s8-0985_彼は含ませるような微笑を浮かべた。.mp3]	<b>(含ませる)</b> <br> 彼は含ませるような微笑を浮かべた。<br> かれはふくませるようなほほえみをうかべた。 <br> He smiled with a suggestive smile.			
<b>(含ませる)</b> <br> 彼は含ませるような微笑を浮かべた。	[sound:s8-0985_彼は含ませるような微笑を浮かべた。.mp3] <br> かれはふくませるようなほほえみをうかべた。 <br> He smiled with a suggestive smile.			
[sound:k8-0986_六十四分音符.mp3]	六十四分音符 <br> ろくじゅうしぶおんぷ <br> 64th note
64th note	六十四分音符 <br> ろくじゅうしぶおんぷ <br> [sound:k8-0986_六十四分音符.mp3]
六十四分音符	[sound:k8-0986_六十四分音符.mp3] <br> ろくじゅうしぶおんぷ <br> 64th note
[sound:s8-0986_この料理は多くの野菜を含んでいます。.mp3]	<b>(含む)</b> <br> この料理は多くの野菜を含んでいます。<br> このりょうりはおおくのやさいをふくんでいます。 <br> This dish contains many vegetables.			
<b>(含む)</b> <br> この料理は多くの野菜を含んでいます。	[sound:s8-0986_この料理は多くの野菜を含んでいます。.mp3] <br> このりょうりはおおくのやさいをふくんでいます。 <br> This dish contains many vegetables.			
[sound:k8-0987_録音.mp3]	録音 <br> ろくおん <br> (audio) recording
(audio) recording	録音 <br> ろくおん <br> [sound:k8-0987_録音.mp3]
録音	[sound:k8-0987_録音.mp3] <br> ろくおん <br> (audio) recording
[sound:s8-0987_彼女の声には弱い含みがあった。.mp3]	<b>(弱含み)</b> <br> 彼女の声には弱い含みがあった。<br> かのじょのこえにはよわいふくみがあった。 <br> There was a slight hint in her voice.			
<b>(弱含み)</b> <br> 彼女の声には弱い含みがあった。	[sound:s8-0987_彼女の声には弱い含みがあった。.mp3] <br> かのじょのこえにはよわいふくみがあった。 <br> There was a slight hint in her voice.			
[sound:k8-0988_音響.mp3]	音響 <br> おんきょう <br> sound, noise, echo, acoustic(s)
sound, noise, echo, acoustic(s)	音響 <br> おんきょう <br> [sound:k8-0988_音響.mp3]
音響	[sound:k8-0988_音響.mp3] <br> おんきょう <br> sound, noise, echo, acoustic(s)
[sound:s8-0988_この論文には多くのアイデアが包含されています。.mp3]	<b>(包含)</b> <br> この論文には多くのアイデアが包含されています。<br> このろんぶんにはおおくのアイデアがほうがんされています。 <br> This paper contains many ideas.			
<b>(包含)</b> <br> この論文には多くのアイデアが包含されています。	[sound:s8-0988_この論文には多くのアイデアが包含されています。.mp3] <br> このろんぶんにはおおくのアイデアがほうがんされています。 <br> This paper contains many ideas.			
[sound:k8-0989_音頭.mp3]	音頭 <br> おんど <br> workmen's songs, marching songs
workmen's songs, marching songs	音頭 <br> おんど <br> [sound:k8-0989_音頭.mp3]
音頭	[sound:k8-0989_音頭.mp3] <br> おんど <br> workmen's songs, marching songs
[sound:s8-0989_その会社は大きな含み資産を持っている。.mp3]	<b>(含み資産)</b> <br> その会社は大きな含み資産を持っている。<br> そのかいしゃはおおきなふくみしさんをもっている。 <br> The company has significant unrealized assets.			
<b>(含み資産)</b> <br> その会社は大きな含み資産を持っている。	[sound:s8-0989_その会社は大きな含み資産を持っている。.mp3] <br> そのかいしゃはおおきなふくみしさんをもっている。 <br> The company has significant unrealized assets.			
[sound:k8-0990_音色.mp3]	音色 <br> ねいろ, おんいろ, おんしょく <br> tone color, tone colour, tone quality, timbre; synthesizer patch, synthesiser patch
tone color, tone colour, tone quality, timbre; synthesizer patch, synthesiser patch	音色 <br> ねいろ, おんいろ, おんしょく <br> [sound:k8-0990_音色.mp3]
音色	[sound:k8-0990_音色.mp3] <br> ねいろ, おんいろ, おんしょく <br> tone color, tone colour, tone quality, timbre; synthesizer patch, synthesiser patch
[sound:s8-0990_彼の言葉には深い含蓄がある。.mp3]	<b>(含蓄)</b> <br> 彼の言葉には深い含蓄がある。<br> かれのことばにはふかいがんちくがある。 <br> His words are profound.			
<b>(含蓄)</b> <br> 彼の言葉には深い含蓄がある。	[sound:s8-0990_彼の言葉には深い含蓄がある。.mp3] <br> かれのことばにはふかいがんちくがある。 <br> His words are profound.			
[sound:k8-0991_申.mp3]	申 <br> (kun: もう.す, もう.し-, さる; on: シン) <br> have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac
have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac	申 <br> (kun: もう.す, もう.し-, さる; on: シン) <br> [sound:k8-0991_申.mp3]
申	[sound:k8-0991_申.mp3] <br> (kun: もう.す, もう.し-, さる; on: シン) <br> have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac
[sound:s8-0991_その発言には強い含みがあった。.mp3]	<b>(強含み)</b> <br> その発言には強い含みがあった。<br> そのはつげんにはつよいふくみがあった。 <br> There was a strong implication in his statement.			
<b>(強含み)</b> <br> その発言には強い含みがあった。	[sound:s8-0991_その発言には強い含みがあった。.mp3] <br> そのはつげんにはつよいふくみがあった。 <br> There was a strong implication in his statement.			
[sound:k8-0992_申請.mp3]	申請 <br> しんせい <br> application, request, petition
application, request, petition	申請 <br> しんせい <br> [sound:k8-0992_申請.mp3]
申請	[sound:k8-0992_申請.mp3] <br> しんせい <br> application, request, petition
[sound:s8-0992_その物語は多くのメタファーを含みます。.mp3]	<b>(含ます)</b> <br> その物語は多くのメタファーを含みます。<br> そのものがたりはおおくのメタファーをふくみます。 <br> The story contains many metaphors.			
<b>(含ます)</b> <br> その物語は多くのメタファーを含みます。	[sound:s8-0992_その物語は多くのメタファーを含みます。.mp3] <br> そのものがたりはおおくのメタファーをふくみます。 <br> The story contains many metaphors.			
[sound:k8-0993_答申.mp3]	答申 <br> とうしん <br> report, reply, findings
report, reply, findings	答申 <br> とうしん <br> [sound:k8-0993_答申.mp3]
答申	[sound:k8-0993_答申.mp3] <br> とうしん <br> report, reply, findings
[sound:s8-0993_福を祈ります。.mp3]	<b>(福)</b> <br> 福を祈ります。<br> ふくをいのります。 <br> I pray for good fortune.			
<b>(福)</b> <br> 福を祈ります。	[sound:s8-0993_福を祈ります。.mp3] <br> ふくをいのります。 <br> I pray for good fortune.			
[sound:k8-0994_申し込み.mp3]	申し込み <br> もうしこみ <br> application, entry, request, subscription, offer, proposal, overture, challenge
application, entry, request, subscription, offer, proposal, overture, challenge	申し込み <br> もうしこみ <br> [sound:k8-0994_申し込み.mp3]
申し込み	[sound:k8-0994_申し込み.mp3] <br> もうしこみ <br> application, entry, request, subscription, offer, proposal, overture, challenge
[sound:s8-0994_彼は福をもたらすと言われている。.mp3]	<b>(福)</b> <br> 彼は福をもたらすと言われている。<br> かれはふくをもたらすといわれている。 <br> He is said to bring good luck.			
<b>(福)</b> <br> 彼は福をもたらすと言われている。	[sound:s8-0994_彼は福をもたらすと言われている。.mp3] <br> かれはふくをもたらすといわれている。 <br> He is said to bring good luck.			
[sound:k8-0995_申告.mp3]	申告 <br> しんこく <br> report, statement, filing a return, notification
report, statement, filing a return, notification	申告 <br> しんこく <br> [sound:k8-0995_申告.mp3]
申告	[sound:k8-0995_申告.mp3] <br> しんこく <br> report, statement, filing a return, notification
[sound:s8-0995_福祉政策がますます重要になっています。.mp3]	<b>(福祉)</b> <br> 福祉政策がますます重要になっています。<br> ふくしせいさくがますますじゅうようになっています。 <br> Welfare policies are becoming increasingly important.			
<b>(福祉)</b> <br> 福祉政策がますます重要になっています。	[sound:s8-0995_福祉政策がますます重要になっています。.mp3] <br> ふくしせいさくがますますじゅうようになっています。 <br> Welfare policies are becoming increasingly important.			
[sound:k8-0996_申し入れ.mp3]	申し入れ <br> もうしいれ <br> proposal, offer, report, proposition, notice
proposal, offer, report, proposition, notice	申し入れ <br> もうしいれ <br> [sound:k8-0996_申し入れ.mp3]
申し入れ	[sound:k8-0996_申し入れ.mp3] <br> もうしいれ <br> proposal, offer, report, proposition, notice
[sound:s8-0996_社会福祉に関する研究が行われています。.mp3]	<b>(社会福祉)</b> <br> 社会福祉に関する研究が行われています。<br> しゃかいふくしにかんするけんきゅうがおこなわれています。 <br> Research on social welfare is being conducted.			
<b>(社会福祉)</b> <br> 社会福祉に関する研究が行われています。	[sound:s8-0996_社会福祉に関する研究が行われています。.mp3] <br> しゃかいふくしにかんするけんきゅうがおこなわれています。 <br> Research on social welfare is being conducted.			
[sound:k8-0997_申し立て.mp3]	申し立て <br> もうしたて <br> statement, account (of something), declaration, allegation
statement, account (of something), declaration, allegation	申し立て <br> もうしたて <br> [sound:k8-0997_申し立て.mp3]
申し立て	[sound:k8-0997_申し立て.mp3] <br> もうしたて <br> statement, account (of something), declaration, allegation
[sound:s8-0997_彼女の幸福を願っています。.mp3]	<b>(幸福)</b> <br> 彼女の幸福を願っています。<br> かのじょのこうふくをねがっています。 <br> I wish for her happiness.			
<b>(幸福)</b> <br> 彼女の幸福を願っています。	[sound:s8-0997_彼女の幸福を願っています。.mp3] <br> かのじょのこうふくをねがっています。 <br> I wish for her happiness.			
[sound:k8-0998_申し出.mp3]	申し出 <br> もうしで, もうしいで <br> proposal, request, claim, report, notice
proposal, request, claim, report, notice	申し出 <br> もうしで, もうしいで <br> [sound:k8-0998_申し出.mp3]
申し出	[sound:k8-0998_申し出.mp3] <br> もうしで, もうしいで <br> proposal, request, claim, report, notice
[sound:s8-0998_彼は福助として有名だ。.mp3]	<b>(福助)</b> <br> 彼は福助として有名だ。<br> かれはふくすけとしてゆうめいだ。 <br> He is famous as Fukusuke.			
<b>(福助)</b> <br> 彼は福助として有名だ。	[sound:s8-0998_彼は福助として有名だ。.mp3] <br> かれはふくすけとしてゆうめいだ。 <br> He is famous as Fukusuke.			
[sound:k8-0999_上申.mp3]	上申 <br> じょうしん <br> report to a superior
report to a superior	上申 <br> じょうしん <br> [sound:k8-0999_上申.mp3]
上申	[sound:k8-0999_上申.mp3] <br> じょうしん <br> report to a superior
[sound:s8-0999_神の祝福がありますように。.mp3]	<b>(祝福)</b> <br> 神の祝福がありますように。<br> かみのしゅくふくがありますように。 <br> May God bless you.			
<b>(祝福)</b> <br> 神の祝福がありますように。	[sound:s8-0999_神の祝福がありますように。.mp3] <br> かみのしゅくふくがありますように。 <br> May God bless you.			
[sound:k8-1000_内申.mp3]	内申 <br> ないしん <br> unofficial report, confidential report
unofficial report, confidential report	内申 <br> ないしん <br> [sound:k8-1000_内申.mp3]
内申	[sound:k8-1000_内申.mp3] <br> ないしん <br> unofficial report, confidential report
[sound:s8-1000_彼は裕福な生活を送っている。.mp3]	<b>(裕福)</b> <br> 彼は裕福な生活を送っている。<br> かれはゆうふくなせいかつをおくっている。 <br> He leads a wealthy life.			
<b>(裕福)</b> <br> 彼は裕福な生活を送っている。	[sound:s8-1000_彼は裕福な生活を送っている。.mp3] <br> かれはゆうふくなせいかつをおくっている。 <br> He leads a wealthy life.			
[sound:k8-1001_申.mp3]	申 <br> さる <br> ninth sign of Chinese zodiac (The Monkey, 3pm-5pm, west-southwest, July)
ninth sign of Chinese zodiac (The Monkey, 3pm-5pm, west-southwest, July)	申 <br> さる <br> [sound:k8-1001_申.mp3]
申	[sound:k8-1001_申.mp3] <br> さる <br> ninth sign of Chinese zodiac (The Monkey, 3pm-5pm, west-southwest, July)
[sound:s8-1001_その会社は福利厚生が充実している。.mp3]	<b>(福利厚生)</b> <br> その会社は福利厚生が充実している。<br> そのかいしゃはふくりこうせいがじゅうじつしている。 <br> The company has comprehensive welfare benefits.			
<b>(福利厚生)</b> <br> その会社は福利厚生が充実している。	[sound:s8-1001_その会社は福利厚生が充実している。.mp3] <br> そのかいしゃはふくりこうせいがじゅうじつしている。 <br> The company has comprehensive welfare benefits.			
[sound:k8-1002_様.mp3]	様 <br> (kun: さま, さん; on: ヨウ, ショウ) <br> Esq., way, manner, situation, polite suffix
Esq., way, manner, situation, polite suffix	様 <br> (kun: さま, さん; on: ヨウ, ショウ) <br> [sound:k8-1002_様.mp3]
様	[sound:k8-1002_様.mp3] <br> (kun: さま, さん; on: ヨウ, ショウ) <br> Esq., way, manner, situation, polite suffix
[sound:s8-1002_福音書を読みましょう。.mp3]	<b>(福音)</b> <br> 福音書を読みましょう。<br> ふくいんしょをよみましょう。 <br> Let's read the Gospel.			
<b>(福音)</b> <br> 福音書を読みましょう。	[sound:s8-1002_福音書を読みましょう。.mp3] <br> ふくいんしょをよみましょう。 <br> Let's read the Gospel.			
[sound:k8-1003_同様.mp3]	同様 <br> どうよう <br> identical, equal to, same (kind), like, similarity
identical, equal to, same (kind), like, similarity	同様 <br> どうよう <br> [sound:k8-1003_同様.mp3]
同様	[sound:k8-1003_同様.mp3] <br> どうよう <br> identical, equal to, same (kind), like, similarity
[sound:s8-1003_その瞬間は至福のひとときだった。.mp3]	<b>(至福)</b> <br> その瞬間は至福のひとときだった。<br> そのしゅんかんはしふくのひとときだった。 <br> That moment was pure bliss.			
<b>(至福)</b> <br> その瞬間は至福のひとときだった。	[sound:s8-1003_その瞬間は至福のひとときだった。.mp3] <br> そのしゅんかんはしふくのひとときだった。 <br> That moment was pure bliss.			
[sound:k8-1004_様子.mp3]	様子 <br> ようす <br> aspect, state, appearance
aspect, state, appearance	様子 <br> ようす <br> [sound:k8-1004_様子.mp3]
様子	[sound:k8-1004_様子.mp3] <br> ようす <br> aspect, state, appearance
[sound:s8-1004_この農場には大きな蔵があります。.mp3]	<b>(蔵)</b> <br> この農場には大きな蔵があります。<br> こののうじょうにはおおきなくらがあります。 <br> There is a large barn on this farm.			
<b>(蔵)</b> <br> この農場には大きな蔵があります。	[sound:s8-1004_この農場には大きな蔵があります。.mp3] <br> こののうじょうにはおおきなくらがあります。 <br> There is a large barn on this farm.			
[sound:k8-1005_多様.mp3]	多様 <br> たよう <br> diverse, varied
diverse, varied	多様 <br> たよう <br> [sound:k8-1005_多様.mp3]
多様	[sound:k8-1005_多様.mp3] <br> たよう <br> diverse, varied
[sound:s8-1005_大蔵省が予算案を発表しました。.mp3]	<b>(大蔵省)</b> <br> 大蔵省が予算案を発表しました。<br> おおくらしょうがよさんあんをはっぴょうしました。 <br> The Ministry of Finance announced the budget proposal.			
<b>(大蔵省)</b> <br> 大蔵省が予算案を発表しました。	[sound:s8-1005_大蔵省が予算案を発表しました。.mp3] <br> おおくらしょうがよさんあんをはっぴょうしました。 <br> The Ministry of Finance announced the budget proposal.			
[sound:k8-1006_模様.mp3]	模様 <br> もよう <br> pattern, figure, design
pattern, figure, design	模様 <br> もよう <br> [sound:k8-1006_模様.mp3]
模様	[sound:k8-1006_模様.mp3] <br> もよう <br> pattern, figure, design
[sound:s8-1006_彼は蔵相に任命された。.mp3]	<b>(蔵相)</b> <br> 彼は蔵相に任命された。<br> かれはくらしょうににんめいされた。 <br> He was appointed as the Minister of Finance.			
<b>(蔵相)</b> <br> 彼は蔵相に任命された。	[sound:s8-1006_彼は蔵相に任命された。.mp3] <br> かれはくらしょうににんめいされた。 <br> He was appointed as the Minister of Finance.			
[sound:k8-1007_様相.mp3]	様相 <br> ようそう <br> aspect
aspect	様相 <br> ようそう <br> [sound:k8-1007_様相.mp3]
様相	[sound:k8-1007_様相.mp3] <br> ようそう <br> aspect
[sound:s8-1007_彼は大蔵大臣を務めた。.mp3]	<b>(大蔵)</b> <br> 彼は大蔵大臣を務めた。<br> かれはおおくらだいじんをつとめた。 <br> He served as the Minister of Finance.			
<b>(大蔵)</b> <br> 彼は大蔵大臣を務めた。	[sound:s8-1007_彼は大蔵大臣を務めた。.mp3] <br> かれはおおくらだいじんをつとめた。 <br> He served as the Minister of Finance.			
[sound:k8-1008_様々.mp3]	様々 <br> さまざま <br> varied, various
varied, various	様々 <br> さまざま <br> [sound:k8-1008_様々.mp3]
様々	[sound:k8-1008_様々.mp3] <br> さまざま <br> varied, various
[sound:s8-1008_冷蔵庫に牛乳を入れてください。.mp3]	<b>(冷蔵庫)</b> <br> 冷蔵庫に牛乳を入れてください。<br> れいぞうこにぎゅうにゅうをいれてください。 <br> Please put the milk in the refrigerator.			
<b>(冷蔵庫)</b> <br> 冷蔵庫に牛乳を入れてください。	[sound:s8-1008_冷蔵庫に牛乳を入れてください。.mp3] <br> れいぞうこにぎゅうにゅうをいれてください。 <br> Please put the milk in the refrigerator.			
[sound:k8-1009_様式.mp3]	様式 <br> ようしき <br> style, form, pattern
style, form, pattern	様式 <br> ようしき <br> [sound:k8-1009_様式.mp3]
様式	[sound:k8-1009_様式.mp3] <br> ようしき <br> style, form, pattern
[sound:s8-1009_穀物を貯蔵してください。.mp3]	<b>(貯蔵)</b> <br> 穀物を貯蔵してください。<br> こくもつをちょぞうしてください。 <br> Please store the grain.			
<b>(貯蔵)</b> <br> 穀物を貯蔵してください。	[sound:s8-1009_穀物を貯蔵してください。.mp3] <br> こくもつをちょぞうしてください。 <br> Please store the grain.			
[sound:k8-1010_神様.mp3]	神様 <br> かみさま <br> God
God	神様 <br> かみさま <br> [sound:k8-1010_神様.mp3]
神様	[sound:k8-1010_神様.mp3] <br> かみさま <br> God
[sound:s8-1010_コンピューターの内蔵メモリが不足しています。.mp3]	<b>(内蔵)</b> <br> コンピューターの内蔵メモリが不足しています。<br> こんぴゅーたーのないぞうメモリがふそくしています。 <br> The computer's internal memory is insufficient.			
<b>(内蔵)</b> <br> コンピューターの内蔵メモリが不足しています。	[sound:s8-1010_コンピューターの内蔵メモリが不足しています。.mp3] <br> こんぴゅーたーのないぞうメモリがふそくしています。 <br> The computer's internal memory is insufficient.			
[sound:k8-1011_多様化.mp3]	多様化 <br> たようか <br> diversification
diversification	多様化 <br> たようか <br> [sound:k8-1011_多様化.mp3]
多様化	[sound:k8-1011_多様化.mp3] <br> たようか <br> diversification
[sound:s8-1011_この地域には多くの資源が埋蔵されています。.mp3]	<b>(埋蔵)</b> <br> この地域には多くの資源が埋蔵されています。<br> このちいきにはおおくのしげんがまいぞうされています。 <br> Many resources are buried in this area.			
<b>(埋蔵)</b> <br> この地域には多くの資源が埋蔵されています。	[sound:s8-1011_この地域には多くの資源が埋蔵されています。.mp3] <br> このちいきにはおおくのしげんがまいぞうされています。 <br> Many resources are buried in this area.			
[sound:k8-1012_仕様.mp3]	仕様 <br> しよう <br> way, method, means, resource, remedy; (technical) specification
way, method, means, resource, remedy; (technical) specification	仕様 <br> しよう <br> [sound:k8-1012_仕様.mp3]
仕様	[sound:k8-1012_仕様.mp3] <br> しよう <br> way, method, means, resource, remedy; (technical) specification
[sound:s8-1012_この美術館は多くの名画を所蔵している。.mp3]	<b>(所蔵)</b> <br> この美術館は多くの名画を所蔵している。<br> このびじゅつかんはおおくのめいがをしょぞうしている。 <br> This art museum houses many famous paintings.			
<b>(所蔵)</b> <br> この美術館は多くの名画を所蔵している。	[sound:s8-1012_この美術館は多くの名画を所蔵している。.mp3] <br> このびじゅつかんはおおくのめいがをしょぞうしている。 <br> This art museum houses many famous paintings.			
[sound:k8-1013_財.mp3]	財 <br> (kun: たから; on: ザイ, サイ, ゾク) <br> property, money, wealth, assets
property, money, wealth, assets	財 <br> (kun: たから; on: ザイ, サイ, ゾク) <br> [sound:k8-1013_財.mp3]
財	[sound:k8-1013_財.mp3] <br> (kun: たから; on: ザイ, サイ, ゾク) <br> property, money, wealth, assets
[sound:s8-1013_彼は蔵書を整理しています。.mp3]	<b>(蔵書)</b> <br> 彼は蔵書を整理しています。<br> かれはぞうしょをせいりしています。 <br> He is organizing his book collection.			
<b>(蔵書)</b> <br> 彼は蔵書を整理しています。	[sound:s8-1013_彼は蔵書を整理しています。.mp3] <br> かれはぞうしょをせいりしています。 <br> He is organizing his book collection.			
[sound:k8-1014_財政.mp3]	財政 <br> ざいせい <br> financial affairs, public finance
financial affairs, public finance	財政 <br> ざいせい <br> [sound:k8-1014_財政.mp3]
財政	[sound:k8-1014_財政.mp3] <br> ざいせい <br> financial affairs, public finance
[sound:s8-1014_その寺には大きな地蔵像がある。.mp3]	<b>(地蔵)</b> <br> その寺には大きな地蔵像がある。<br> そのてらにはおおきなじぞうぞうがある。 <br> There is a large Jizo statue in that temple.			
<b>(地蔵)</b> <br> その寺には大きな地蔵像がある。	[sound:s8-1014_その寺には大きな地蔵像がある。.mp3] <br> そのてらにはおおきなじぞうぞうがある。 <br> There is a large Jizo statue in that temple.			
[sound:k8-1015_財.mp3]	財 <br> ざい <br> fortune, riches; goods
fortune, riches; goods	財 <br> ざい <br> [sound:k8-1015_財.mp3]
財	[sound:k8-1015_財.mp3] <br> ざい <br> fortune, riches; goods
[sound:s8-1015_その店は大量の商品を販売している。.mp3]	<b>(量)</b> <br> その店は大量の商品を販売している。<br> そのみせはたいりょうのしょうひんをはんばいしている。 <br> The store sells a large quantity of products.			
<b>(量)</b> <br> その店は大量の商品を販売している。	[sound:s8-1015_その店は大量の商品を販売している。.mp3] <br> そのみせはたいりょうのしょうひんをはんばいしている。 <br> The store sells a large quantity of products.			
[sound:k8-1016_財界.mp3]	財界 <br> ざいかい <br> financial world
financial world	財界 <br> ざいかい <br> [sound:k8-1016_財界.mp3]
財界	[sound:k8-1016_財界.mp3] <br> ざいかい <br> financial world
[sound:s8-1016_彼は大量の資金を持っている。.mp3]	<b>(大量)</b> <br> 彼は大量の資金を持っている。<br> かれはたいりょうのしきんをもっている。 <br> He has a large amount of money.			
<b>(大量)</b> <br> 彼は大量の資金を持っている。	[sound:s8-1016_彼は大量の資金を持っている。.mp3] <br> かれはたいりょうのしきんをもっている。 <br> He has a large amount of money.			
[sound:k8-1017_財源.mp3]	財源 <br> ざいげん <br> source of funds, resources, finances
source of funds, resources, finances	財源 <br> ざいげん <br> [sound:k8-1017_財源.mp3]
財源	[sound:k8-1017_財源.mp3] <br> ざいげん <br> source of funds, resources, finances
[sound:s8-1017_この箱の重量を測ってください。.mp3]	<b>(重量)</b> <br> この箱の重量を測ってください。<br> このはこのじゅうりょうをはかってください。 <br> Please weigh this box.			
<b>(重量)</b> <br> この箱の重量を測ってください。	[sound:s8-1017_この箱の重量を測ってください。.mp3] <br> このはこのじゅうりょうをはかってください。 <br> Please weigh this box.			
[sound:k8-1018_財産.mp3]	財産 <br> ざいさん <br> property, fortune, assets
property, fortune, assets	財産 <br> ざいさん <br> [sound:k8-1018_財産.mp3]
財産	[sound:k8-1018_財産.mp3] <br> ざいさん <br> property, fortune, assets
