[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
round of calls, tour of visitation	歴訪 <br> れきほう <br> [sound:k8-5815_歴訪.mp3]
歴訪	[sound:k8-5815_歴訪.mp3] <br> れきほう <br> round of calls, tour of visitation
[sound:s8-5815_競輪は日本の人気スポーツの一つです。.mp3]	<b>(競輪)</b> <br> 競輪は日本の人気スポーツの一つです。<br> けいりんはにほんのにんきスポーツのひとつです。 <br> Keirin is one of Japan's popular sports.			
<b>(競輪)</b> <br> 競輪は日本の人気スポーツの一つです。	[sound:s8-5815_競輪は日本の人気スポーツの一つです。.mp3] <br> けいりんはにほんのにんきスポーツのひとつです。 <br> Keirin is one of Japan's popular sports.			
[sound:k8-5816_履歴書.mp3]	履歴書 <br> りれきしょ <br> personal history, curriculum vitae, resume
personal history, curriculum vitae, resume	履歴書 <br> りれきしょ <br> [sound:k8-5816_履歴書.mp3]
履歴書	[sound:k8-5816_履歴書.mp3] <br> りれきしょ <br> personal history, curriculum vitae, resume
[sound:s8-5816_市場を拡大する。.mp3]	<b>(拡)</b> <br> 市場を拡大する。<br> しじょうをかくだいする。 <br> To expand the market.			
<b>(拡)</b> <br> 市場を拡大する。	[sound:s8-5816_市場を拡大する。.mp3] <br> しじょうをかくだいする。 <br> To expand the market.			
[sound:k8-5817_歴然.mp3]	歴然 <br> れきぜん <br> evident, plain, distinct, clear
evident, plain, distinct, clear	歴然 <br> れきぜん <br> [sound:k8-5817_歴然.mp3]
歴然	[sound:k8-5817_歴然.mp3] <br> れきぜん <br> evident, plain, distinct, clear
[sound:s8-5817_問題が拡大している。.mp3]	<b>(拡大)</b> <br> 問題が拡大している。<br> もんだいがかくだいしている。 <br> The problem is escalating.			
<b>(拡大)</b> <br> 問題が拡大している。	[sound:s8-5817_問題が拡大している。.mp3] <br> もんだいがかくだいしている。 <br> The problem is escalating.			
[sound:k8-5818_略歴.mp3]	略歴 <br> りゃくれき <br> brief personal record, short curriculum vitae, short CV
brief personal record, short curriculum vitae, short CV	略歴 <br> りゃくれき <br> [sound:k8-5818_略歴.mp3]
略歴	[sound:k8-5818_略歴.mp3] <br> りゃくれき <br> brief personal record, short curriculum vitae, short CV
[sound:s8-5818_情報が拡散された。.mp3]	<b>(拡散)</b> <br> 情報が拡散された。<br> じょうほうがかくさんされた。 <br> Information has been disseminated.			
<b>(拡散)</b> <br> 情報が拡散された。	[sound:s8-5818_情報が拡散された。.mp3] <br> じょうほうがかくさんされた。 <br> Information has been disseminated.			
[sound:k8-5819_歴任.mp3]	歴任 <br> れきにん <br> successive jobs, consecutive jobs
successive jobs, consecutive jobs	歴任 <br> れきにん <br> [sound:k8-5819_歴任.mp3]
歴任	[sound:k8-5819_歴任.mp3] <br> れきにん <br> successive jobs, consecutive jobs
[sound:s8-5819_サービスを拡充する。.mp3]	<b>(拡充)</b> <br> サービスを拡充する。<br> サービスをかくじゅうする。 <br> To enhance the service.			
<b>(拡充)</b> <br> サービスを拡充する。	[sound:s8-5819_サービスを拡充する。.mp3] <br> サービスをかくじゅうする。 <br> To enhance the service.			
[sound:k8-5820_辞.mp3]	辞 <br> (kun: や.める, いな.む; on: ジ) <br> resign, word, term, expression
resign, word, term, expression	辞 <br> (kun: や.める, いな.む; on: ジ) <br> [sound:k8-5820_辞.mp3]
辞	[sound:k8-5820_辞.mp3] <br> (kun: や.める, いな.む; on: ジ) <br> resign, word, term, expression
[sound:s8-5820_病院を拡張する計画がある。.mp3]	<b>(拡張)</b> <br> 病院を拡張する計画がある。<br> びょういんをかくちょうするけいかくがある。 <br> There are plans to expand the hospital.			
<b>(拡張)</b> <br> 病院を拡張する計画がある。	[sound:s8-5820_病院を拡張する計画がある。.mp3] <br> びょういんをかくちょうするけいかくがある。 <br> There are plans to expand the hospital.			
[sound:k8-5821_辞任.mp3]	辞任 <br> じにん <br> to resign; resignation
to resign; resignation	辞任 <br> じにん <br> [sound:k8-5821_辞任.mp3]
辞任	[sound:k8-5821_辞任.mp3] <br> じにん <br> to resign; resignation
[sound:s8-5821_拡大均衡の法則が成り立つ。.mp3]	<b>(拡大均衡)</b> <br> 拡大均衡の法則が成り立つ。<br> かくだいきんこうのほうそくがなりたつ。 <br> The law of enlargement holds.			
<b>(拡大均衡)</b> <br> 拡大均衡の法則が成り立つ。	[sound:s8-5821_拡大均衡の法則が成り立つ。.mp3] <br> かくだいきんこうのほうそくがなりたつ。 <br> The law of enlargement holds.			
[sound:k8-5822_辞職.mp3]	辞職 <br> じしょく <br> resignation
resignation	辞職 <br> じしょく <br> [sound:k8-5822_辞職.mp3]
辞職	[sound:k8-5822_辞職.mp3] <br> じしょく <br> resignation
[sound:s8-5822_軍拡競争が続いている。.mp3]	<b>(軍拡)</b> <br> 軍拡競争が続いている。<br> ぐんかくきょうそうがつづいている。 <br> Arms race continues.			
<b>(軍拡)</b> <br> 軍拡競争が続いている。	[sound:s8-5822_軍拡競争が続いている。.mp3] <br> ぐんかくきょうそうがつづいている。 <br> Arms race continues.			
[sound:k8-5823_辞す.mp3]	辞す <br> じす <br> to excuse oneself, to take one's leave; to quit, to resign, to retire, to leave post; to decline, to turn down; unhesitatingly
to excuse oneself, to take one's leave; to quit, to resign, to retire, to leave post; to decline, to turn down; unhesitatingly	辞す <br> じす <br> [sound:k8-5823_辞す.mp3]
辞す	[sound:k8-5823_辞す.mp3] <br> じす <br> to excuse oneself, to take one's leave; to quit, to resign, to retire, to leave post; to decline, to turn down; unhesitatingly
[sound:s8-5823_拡声機の音量を下げてください。.mp3]	<b>(拡声機)</b> <br> 拡声機の音量を下げてください。<br> かくせいきのおんりょうをさげてください。 <br> Please lower the volume of the microphone.			
<b>(拡声機)</b> <br> 拡声機の音量を下げてください。	[sound:s8-5823_拡声機の音量を下げてください。.mp3] <br> かくせいきのおんりょうをさげてください。 <br> Please lower the volume of the microphone.			
[sound:k8-5824_辞表.mp3]	辞表 <br> じひょう <br> letter of resignation
letter of resignation	辞表 <br> じひょう <br> [sound:k8-5824_辞表.mp3]
辞表	[sound:k8-5824_辞表.mp3] <br> じひょう <br> letter of resignation
[sound:s8-5824_花畑が広がっている。.mp3]	<b>(拡がる)</b> <br> 花畑が広がっている。<br> はなばたけがひろがっている。 <br> The flower field is expanding.			
<b>(拡がる)</b> <br> 花畑が広がっている。	[sound:s8-5824_花畑が広がっている。.mp3] <br> はなばたけがひろがっている。 <br> The flower field is expanding.			
[sound:k8-5825_総辞職.mp3]	総辞職 <br> そうじしょく <br> mass resignation
mass resignation	総辞職 <br> そうじしょく <br> [sound:k8-5825_総辞職.mp3]
総辞職	[sound:k8-5825_総辞職.mp3] <br> そうじしょく <br> mass resignation
[sound:s8-5825_その企業は事業を拡げた。.mp3]	<b>(拡げる)</b> <br> その企業は事業を拡げた。<br> そのきぎょうはじぎょうをひろげた。 <br> The company expanded its business.			
<b>(拡げる)</b> <br> その企業は事業を拡げた。	[sound:s8-5825_その企業は事業を拡げた。.mp3] <br> そのきぎょうはじぎょうをひろげた。 <br> The company expanded its business.			
[sound:k8-5826_辞意.mp3]	辞意 <br> じい <br> intention to resign
intention to resign	辞意 <br> じい <br> [sound:k8-5826_辞意.mp3]
辞意	[sound:k8-5826_辞意.mp3] <br> じい <br> intention to resign
[sound:s8-5826_インターネットの普及が拡がりを見せている。.mp3]	<b>(拡がり)</b> <br> インターネットの普及が拡がりを見せている。<br> インターネットのふきゅうがひろがりをみせている。 <br> The spread of the Internet is expanding.			
<b>(拡がり)</b> <br> インターネットの普及が拡がりを見せている。	[sound:s8-5826_インターネットの普及が拡がりを見せている。.mp3] <br> インターネットのふきゅうがひろがりをみせている。 <br> The spread of the Internet is expanding.			
[sound:k8-5827_辞書.mp3]	辞書 <br> じしょ <br> dictionary, lexicon; letter of resignation
dictionary, lexicon; letter of resignation	辞書 <br> じしょ <br> [sound:k8-5827_辞書.mp3]
辞書	[sound:k8-5827_辞書.mp3] <br> じしょ <br> dictionary, lexicon; letter of resignation
[sound:s8-5827_故人を偲ぶ。.mp3]	<b>(故)</b> <br> 故人を偲ぶ。<br> こじんをしのぶ。 <br> To mourn the deceased.			
<b>(故)</b> <br> 故人を偲ぶ。	[sound:s8-5827_故人を偲ぶ。.mp3] <br> こじんをしのぶ。 <br> To mourn the deceased.			
[sound:k8-5828_辞典.mp3]	辞典 <br> じてん, ことばてん <br> dictionary
dictionary	辞典 <br> じてん, ことばてん <br> [sound:k8-5828_辞典.mp3]
辞典	[sound:k8-5828_辞典.mp3] <br> じてん, ことばてん <br> dictionary
[sound:s8-5828_交通事故が発生した。.mp3]	<b>(事故)</b> <br> 交通事故が発生した。<br> こうつうじこがはっせいした。 <br> A traffic accident occurred.			
<b>(事故)</b> <br> 交通事故が発生した。	[sound:s8-5828_交通事故が発生した。.mp3] <br> こうつうじこがはっせいした。 <br> A traffic accident occurred.			
[sound:k8-5829_辞退.mp3]	辞退 <br> じたい <br> refusal
refusal	辞退 <br> じたい <br> [sound:k8-5829_辞退.mp3]
辞退	[sound:k8-5829_辞退.mp3] <br> じたい <br> refusal
[sound:s8-5829_機械の故障を修理する。.mp3]	<b>(故障)</b> <br> 機械の故障を修理する。<br> きかいのこしょうをしゅうりする。 <br> To repair a machine malfunction.			
<b>(故障)</b> <br> 機械の故障を修理する。	[sound:s8-5829_機械の故障を修理する。.mp3] <br> きかいのこしょうをしゅうりする。 <br> To repair a machine malfunction.			
[sound:k8-5830_辞令.mp3]	辞令 <br> じれい <br> notice of personnel change (appointment, dismissal, etc.)
notice of personnel change (appointment, dismissal, etc.)	辞令 <br> じれい <br> [sound:k8-5830_辞令.mp3]
辞令	[sound:k8-5830_辞令.mp3] <br> じれい <br> notice of personnel change (appointment, dismissal, etc.)
[sound:s8-5830_彼は故郷に帰った。.mp3]	<b>(故郷)</b> <br> 彼は故郷に帰った。<br> かれはこきょうにかえった。 <br> He returned to his hometown.			
<b>(故郷)</b> <br> 彼は故郷に帰った。	[sound:s8-5830_彼は故郷に帰った。.mp3] <br> かれはこきょうにかえった。 <br> He returned to his hometown.			
[sound:k8-5831_将.mp3]	将 <br> (kun: まさ.に, はた, まさ, ひきい.る, もって; on: ショウ, ソウ) <br> leader, commander, general, admiral, or, and again, soon, from now on, just about
leader, commander, general, admiral, or, and again, soon, from now on, just about	将 <br> (kun: まさ.に, はた, まさ, ひきい.る, もって; on: ショウ, ソウ) <br> [sound:k8-5831_将.mp3]
将	[sound:k8-5831_将.mp3] <br> (kun: まさ.に, はた, まさ, ひきい.る, もって; on: ショウ, ソウ) <br> leader, commander, general, admiral, or, and again, soon, from now on, just about
[sound:s8-5831_故人を追悼する。.mp3]	<b>(故人)</b> <br> 故人を追悼する。<br> こじんをついとうする。 <br> To mourn the deceased.			
<b>(故人)</b> <br> 故人を追悼する。	[sound:s8-5831_故人を追悼する。.mp3] <br> こじんをついとうする。 <br> To mourn the deceased.			
[sound:k8-5832_将.mp3]	将 <br> しょう <br> commander, general, leader
commander, general, leader	将 <br> しょう <br> [sound:k8-5832_将.mp3]
将	[sound:k8-5832_将.mp3] <br> しょう <br> commander, general, leader
[sound:s8-5832_交通事故に遭った。.mp3]	<b>(交通事故)</b> <br> 交通事故に遭った。<br> こうつうじこにあった。 <br> I had a traffic accident.			
<b>(交通事故)</b> <br> 交通事故に遭った。	[sound:s8-5832_交通事故に遭った。.mp3] <br> こうつうじこにあった。 <br> I had a traffic accident.			
[sound:k8-5833_将来.mp3]	将来 <br> しょうらい <br> future (usually near), prospects
future (usually near), prospects	将来 <br> しょうらい <br> [sound:k8-5833_将来.mp3]
将来	[sound:k8-5833_将来.mp3] <br> しょうらい <br> future (usually near), prospects
[sound:s8-5833_彼の行動は故意である。.mp3]	<b>(故意)</b> <br> 彼の行動は故意である。<br> かれのこうどうはこいである。 <br> His actions are intentional.			
<b>(故意)</b> <br> 彼の行動は故意である。	[sound:s8-5833_彼の行動は故意である。.mp3] <br> かれのこうどうはこいである。 <br> His actions are intentional.			
[sound:k8-5834_将棋.mp3]	将棋 <br> しょうぎ <br> shogi, Japanese chess, xianqi
shogi, Japanese chess, xianqi	将棋 <br> しょうぎ <br> [sound:k8-5834_将棋.mp3]
将棋	[sound:k8-5834_将棋.mp3] <br> しょうぎ <br> shogi, Japanese chess, xianqi
[sound:s8-5834_故国を懐かしむ。.mp3]	<b>(故国)</b> <br> 故国を懐かしむ。<br> ここくをなつかしむ。 <br> To long for one's homeland.			
<b>(故国)</b> <br> 故国を懐かしむ。	[sound:s8-5834_故国を懐かしむ。.mp3] <br> ここくをなつかしむ。 <br> To long for one's homeland.			
[sound:k8-5835_主将.mp3]	主将 <br> しゅしょう <br> commander-in-chief, (team) captain
commander-in-chief, (team) captain	主将 <br> しゅしょう <br> [sound:k8-5835_主将.mp3]
主将	[sound:k8-5835_主将.mp3] <br> しゅしょう <br> commander-in-chief, (team) captain
[sound:s8-5835_故に、彼は怒った。.mp3]	<b>(故に)</b> <br> 故に、彼は怒った。<br> ゆえに、かれはおこった。 <br> Therefore, he got angry.			
<b>(故に)</b> <br> 故に、彼は怒った。	[sound:s8-5835_故に、彼は怒った。.mp3] <br> ゆえに、かれはおこった。 <br> Therefore, he got angry.			
[sound:k8-5836_将軍.mp3]	将軍 <br> しょうぐん <br> general, shogun
general, shogun	将軍 <br> しょうぐん <br> [sound:k8-5836_将軍.mp3]
将軍	[sound:k8-5836_将軍.mp3] <br> しょうぐん <br> general, shogun
[sound:s8-5836_彼は故事に詳しい。.mp3]	<b>(故事)</b> <br> 彼は故事に詳しい。<br> かれはこじにくわしい。 <br> He is knowledgeable about historical events.			
<b>(故事)</b> <br> 彼は故事に詳しい。	[sound:s8-5836_彼は故事に詳しい。.mp3] <br> かれはこじにくわしい。 <br> He is knowledgeable about historical events.			
[sound:k8-5837_王将.mp3]	王将 <br> おうしょう <br> king; king (for senior player) (shogi)
king; king (for senior player) (shogi)	王将 <br> おうしょう <br> [sound:k8-5837_王将.mp3]
王将	[sound:k8-5837_王将.mp3] <br> おうしょう <br> king; king (for senior player) (shogi)
[sound:s8-5837_彼の紹介で縁故のある会社に就職した。.mp3]	<b>(縁故)</b> <br> 彼の紹介で縁故のある会社に就職した。<br> かれのしょうかいでえんこのあるかいしゃにしゅうしょくした。 <br> He got a job at a company with connections through his introduction.			
<b>(縁故)</b> <br> 彼の紹介で縁故のある会社に就職した。	[sound:s8-5837_彼の紹介で縁故のある会社に就職した。.mp3] <br> かれのしょうかいでえんこのあるかいしゃにしゅうしょくした。 <br> He got a job at a company with connections through his introduction.			
[sound:k8-5838_将校.mp3]	将校 <br> しょうこう <br> commissioned officer
commissioned officer	将校 <br> しょうこう <br> [sound:k8-5838_将校.mp3]
将校	[sound:k8-5838_将校.mp3] <br> しょうこう <br> commissioned officer
[sound:s8-5838_館内に美術館があります。.mp3]	<b>(館)</b> <br> 館内に美術館があります。<br> やかたないにびじゅつかんがあります。 <br> There is an art museum in the building.			
<b>(館)</b> <br> 館内に美術館があります。	[sound:s8-5838_館内に美術館があります。.mp3] <br> やかたないにびじゅつかんがあります。 <br> There is an art museum in the building.			
[sound:k8-5839_大将.mp3]	大将 <br> たいしょう, だいしょう <br> general, admiral, boss
general, admiral, boss	大将 <br> たいしょう, だいしょう <br> [sound:k8-5839_大将.mp3]
大将	[sound:k8-5839_大将.mp3] <br> たいしょう, だいしょう <br> general, admiral, boss
[sound:s8-5839_会館でイベントが開催されます。.mp3]	<b>(会館)</b> <br> 会館でイベントが開催されます。<br> かいかんでイベントがかいさいされます。 <br> An event will be held at the assembly hall.			
<b>(会館)</b> <br> 会館でイベントが開催されます。	[sound:s8-5839_会館でイベントが開催されます。.mp3] <br> かいかんでイベントがかいさいされます。 <br> An event will be held at the assembly hall.			
[sound:k8-5840_将来性.mp3]	将来性 <br> しょうらいせい <br> future prospects, promise
future prospects, promise	将来性 <br> しょうらいせい <br> [sound:k8-5840_将来性.mp3]
将来性	[sound:k8-5840_将来性.mp3] <br> しょうらいせい <br> future prospects, promise
[sound:s8-5840_大使館でパスポートを更新しました。.mp3]	<b>(大使館)</b> <br> 大使館でパスポートを更新しました。<br> たいしかんでパスポートをこうしんしました。 <br> I renewed my passport at the embassy.			
<b>(大使館)</b> <br> 大使館でパスポートを更新しました。	[sound:s8-5840_大使館でパスポートを更新しました。.mp3] <br> たいしかんでパスポートをこうしんしました。 <br> I renewed my passport at the embassy.			
[sound:k8-5841_将兵.mp3]	将兵 <br> しょうへい <br> officers and men
officers and men	将兵 <br> しょうへい <br> [sound:k8-5841_将兵.mp3]
将兵	[sound:k8-5841_将兵.mp3] <br> しょうへい <br> officers and men
[sound:s8-5841_美術館で素晴らしい絵画を見ました。.mp3]	<b>(美術館)</b> <br> 美術館で素晴らしい絵画を見ました。<br> びじゅつかんですばらしいかいがをみました。 <br> I saw wonderful paintings at the art museum.			
<b>(美術館)</b> <br> 美術館で素晴らしい絵画を見ました。	[sound:s8-5841_美術館で素晴らしい絵画を見ました。.mp3] <br> びじゅつかんですばらしいかいがをみました。 <br> I saw wonderful paintings at the art museum.			
[sound:k8-5842_秋.mp3]	秋 <br> (kun: あき, とき; on: シュウ) <br> autumn
autumn	秋 <br> (kun: あき, とき; on: シュウ) <br> [sound:k8-5842_秋.mp3]
秋	[sound:k8-5842_秋.mp3] <br> (kun: あき, とき; on: シュウ) <br> autumn
[sound:s8-5842_博物館には恐竜の骨が展示されています。.mp3]	<b>(博物館)</b> <br> 博物館には恐竜の骨が展示されています。<br> はくぶつかんにはきょうりゅうのほねがてんじされています。 <br> Dinosaur bones are exhibited in the museum.			
<b>(博物館)</b> <br> 博物館には恐竜の骨が展示されています。	[sound:s8-5842_博物館には恐竜の骨が展示されています。.mp3] <br> はくぶつかんにはきょうりゅうのほねがてんじされています。 <br> Dinosaur bones are exhibited in the museum.			
[sound:k8-5843_秋.mp3]	秋 <br> あき <br> autumn, fall
autumn, fall	秋 <br> あき <br> [sound:k8-5843_秋.mp3]
秋	[sound:k8-5843_秋.mp3] <br> あき <br> autumn, fall
[sound:s8-5843_図書館で本を借りることができます。.mp3]	<b>(図書館)</b> <br> 図書館で本を借りることができます。<br> としょかんでほんをかりることができます。 <br> You can borrow books at the library.			
<b>(図書館)</b> <br> 図書館で本を借りることができます。	[sound:s8-5843_図書館で本を借りることができます。.mp3] <br> としょかんでほんをかりることができます。 <br> You can borrow books at the library.			
[sound:k8-5844_今秋.mp3]	今秋 <br> こんしゅう <br> this (next, last) autumn (fall)
this (next, last) autumn (fall)	今秋 <br> こんしゅう <br> [sound:k8-5844_今秋.mp3]
今秋	[sound:k8-5844_今秋.mp3] <br> こんしゅう <br> this (next, last) autumn (fall)
[sound:s8-5844_映画館で新作映画を見るのが好きです。.mp3]	<b>(映画館)</b> <br> 映画館で新作映画を見るのが好きです。<br> えいがかんでしんさくえいがをみるのがすきです。 <br> I like watching new movies at the movie theater.			
<b>(映画館)</b> <br> 映画館で新作映画を見るのが好きです。	[sound:s8-5844_映画館で新作映画を見るのが好きです。.mp3] <br> えいがかんでしんさくえいがをみるのがすきです。 <br> I like watching new movies at the movie theater.			
[sound:k8-5845_昨秋.mp3]	昨秋 <br> さくしゅう <br> autumn of last year, fall of last year
autumn of last year, fall of last year	昨秋 <br> さくしゅう <br> [sound:k8-5845_昨秋.mp3]
昨秋	[sound:k8-5845_昨秋.mp3] <br> さくしゅう <br> autumn of last year, fall of last year
[sound:s8-5845_美術館の館長は芸術に詳しいです。.mp3]	<b>(館長)</b> <br> 美術館の館長は芸術に詳しいです。<br> びじゅつかんのかんちょうはげいじゅつにくわしいです。 <br> The director of the art museum is knowledgeable about art.			
<b>(館長)</b> <br> 美術館の館長は芸術に詳しいです。	[sound:s8-5845_美術館の館長は芸術に詳しいです。.mp3] <br> びじゅつかんのかんちょうはげいじゅつにくわしいです。 <br> The director of the art museum is knowledgeable about art.			
[sound:k8-5846_春秋.mp3]	春秋 <br> しゅんじゅう, はるあき <br> spring and autumn, spring and fall, months and years; the Chronicles of Lu or the Spring and Autumn Annals - one of the Five Classics
spring and autumn, spring and fall, months and years; the Chronicles of Lu or the Spring and Autumn Annals - one of the Five Classics	春秋 <br> しゅんじゅう, はるあき <br> [sound:k8-5846_春秋.mp3]
春秋	[sound:k8-5846_春秋.mp3] <br> しゅんじゅう, はるあき <br> spring and autumn, spring and fall, months and years; the Chronicles of Lu or the Spring and Autumn Annals - one of the Five Classics
[sound:s8-5846_旅館で温泉に入るのが楽しみです。.mp3]	<b>(旅館)</b> <br> 旅館で温泉に入るのが楽しみです。<br> りょかんでおんせんにはいるのがたのしみです。 <br> I look forward to soaking in the hot springs at the inn.			
<b>(旅館)</b> <br> 旅館で温泉に入るのが楽しみです。	[sound:s8-5846_旅館で温泉に入るのが楽しみです。.mp3] <br> りょかんでおんせんにはいるのがたのしみです。 <br> I look forward to soaking in the hot springs at the inn.			
[sound:k8-5847_千秋楽.mp3]	千秋楽 <br> せんしゅうらく <br> concluding festivities, final day of a sumo tournament, concluding program, concluding programme
concluding festivities, final day of a sumo tournament, concluding program, concluding programme	千秋楽 <br> せんしゅうらく <br> [sound:k8-5847_千秋楽.mp3]
千秋楽	[sound:k8-5847_千秋楽.mp3] <br> せんしゅうらく <br> concluding festivities, final day of a sumo tournament, concluding program, concluding programme
[sound:s8-5847_迎賓館で外国の要人を迎えました。.mp3]	<b>(迎賓館)</b> <br> 迎賓館で外国の要人を迎えました。<br> げいひんかんでがいこくのようじんをむかえました。 <br> We welcomed foreign dignitaries at the guesthouse.			
<b>(迎賓館)</b> <br> 迎賓館で外国の要人を迎えました。	[sound:s8-5847_迎賓館で外国の要人を迎えました。.mp3] <br> げいひんかんでがいこくのようじんをむかえました。 <br> We welcomed foreign dignitaries at the guesthouse.			
[sound:k8-5848_秋季.mp3]	秋季 <br> しゅうき <br> fall, autumn
fall, autumn	秋季 <br> しゅうき <br> [sound:k8-5848_秋季.mp3]
秋季	[sound:k8-5848_秋季.mp3] <br> しゅうき <br> fall, autumn
[sound:s8-5848_公民館で地域のイベントが開催されます。.mp3]	<b>(公民館)</b> <br> 公民館で地域のイベントが開催されます。<br> こうみんかんでちいきのイベントがかいさいされます。 <br> Local events are held at the community center.			
<b>(公民館)</b> <br> 公民館で地域のイベントが開催されます。	[sound:s8-5848_公民館で地域のイベントが開催されます。.mp3] <br> こうみんかんでちいきのイベントがかいさいされます。 <br> Local events are held at the community center.			
[sound:k8-5849_秋口.mp3]	秋口 <br> あきぐち <br> beginning of autumn, beginning of fall
beginning of autumn, beginning of fall	秋口 <br> あきぐち <br> [sound:k8-5849_秋口.mp3]
秋口	[sound:k8-5849_秋口.mp3] <br> あきぐち <br> beginning of autumn, beginning of fall
[sound:s8-5849_彼は手を振って私を見送った。.mp3]	<b>(振)</b> <br> 彼は手を振って私を見送った。<br> かれはてをふってわたしをみおくった。 <br> He waved his hand and saw me off.			
<b>(振)</b> <br> 彼は手を振って私を見送った。	[sound:s8-5849_彼は手を振って私を見送った。.mp3] <br> かれはてをふってわたしをみおくった。 <br> He waved his hand and saw me off.			
[sound:k8-5850_晩秋.mp3]	晩秋 <br> ばんしゅう <br> late autumn (fall); ninth month of the lunar calendar
late autumn (fall); ninth month of the lunar calendar	晩秋 <br> ばんしゅう <br> [sound:k8-5850_晩秋.mp3]
晩秋	[sound:k8-5850_晩秋.mp3] <br> ばんしゅう <br> late autumn (fall); ninth month of the lunar calendar
[sound:s8-5850_地域の振興策を実施する予定です。.mp3]	<b>(振興)</b> <br> 地域の振興策を実施する予定です。<br> ちいきのしんこうさくをじっしするよていです。 <br> We plan to implement regional revitalization measures.			
<b>(振興)</b> <br> 地域の振興策を実施する予定です。	[sound:s8-5850_地域の振興策を実施する予定です。.mp3] <br> ちいきのしんこうさくをじっしするよていです。 <br> We plan to implement regional revitalization measures.			
[sound:k8-5851_秋風.mp3]	秋風 <br> あきかぜ, しゅうふう <br> autumn breeze, fall breeze
autumn breeze, fall breeze	秋風 <br> あきかぜ, しゅうふう <br> [sound:k8-5851_秋風.mp3]
秋風	[sound:k8-5851_秋風.mp3] <br> あきかぜ, しゅうふう <br> autumn breeze, fall breeze
[sound:s8-5851_その企業は最近不振に陥っています。.mp3]	<b>(不振)</b> <br> その企業は最近不振に陥っています。<br> そのきぎょうはさいきんふしんにおちいっています。 <br> The company has recently fallen into a slump.			
<b>(不振)</b> <br> その企業は最近不振に陥っています。	[sound:s8-5851_その企業は最近不振に陥っています。.mp3] <br> そのきぎょうはさいきんふしんにおちいっています。 <br> The company has recently fallen into a slump.			
[sound:k8-5852_千秋.mp3]	千秋 <br> せんしゅう <br> thousand years, many years
thousand years, many years	千秋 <br> せんしゅう <br> [sound:k8-5852_千秋.mp3]
千秋	[sound:k8-5852_千秋.mp3] <br> せんしゅう <br> thousand years, many years
[sound:s8-5852_彼はバッターを三振に取りました。.mp3]	<b>(三振)</b> <br> 彼はバッターを三振に取りました。<br> かれはバッターをさんしんにとりました。 <br> He struck out the batter.			
<b>(三振)</b> <br> 彼はバッターを三振に取りました。	[sound:s8-5852_彼はバッターを三振に取りました。.mp3] <br> かれはバッターをさんしんにとりました。 <br> He struck out the batter.			
[sound:k8-5853_因.mp3]	因 <br> (kun: よ.る, ちな.む; on: イン) <br> cause, factor, be associated with, depend on, be limited to
cause, factor, be associated with, depend on, be limited to	因 <br> (kun: よ.る, ちな.む; on: イン) <br> [sound:k8-5853_因.mp3]
因	[sound:k8-5853_因.mp3] <br> (kun: よ.る, ちな.む; on: イン) <br> cause, factor, be associated with, depend on, be limited to
[sound:s8-5853_彼女は腕を振りながら歩いていた。.mp3]	<b>(振り)</b> <br> 彼女は腕を振りながら歩いていた。<br> かのじょはうでをふりながらあるいていた。 <br> She was walking while swinging her arms.			
<b>(振り)</b> <br> 彼女は腕を振りながら歩いていた。	[sound:s8-5853_彼女は腕を振りながら歩いていた。.mp3] <br> かのじょはうでをふりながらあるいていた。 <br> She was walking while swinging her arms.			
[sound:k8-5854_原因.mp3]	原因 <br> げんいん <br> cause, origin, source
cause, origin, source	原因 <br> げんいん <br> [sound:k8-5854_原因.mp3]
原因	[sound:k8-5854_原因.mp3] <br> げんいん <br> cause, origin, source
[sound:s8-5854_地震で建物が振動しました。.mp3]	<b>(振動)</b> <br> 地震で建物が振動しました。<br> じしんでたてものがしんどうしました。 <br> The building shook in the earthquake.			
<b>(振動)</b> <br> 地震で建物が振動しました。	[sound:s8-5854_地震で建物が振動しました。.mp3] <br> じしんでたてものがしんどうしました。 <br> The building shook in the earthquake.			
[sound:k8-5855_要因.mp3]	要因 <br> よういん <br> main cause, primary factor
main cause, primary factor	要因 <br> よういん <br> [sound:k8-5855_要因.mp3]
要因	[sound:k8-5855_要因.mp3] <br> よういん <br> main cause, primary factor
[sound:s8-5855_ピッチャーは9回で奪三振を10回記録しました。.mp3]	<b>(奪三振)</b> <br> ピッチャーは9回で奪三振を10回記録しました。<br> ピッチャーは9かいでだっさんしんを10かいきろくしました。 <br> The pitcher recorded 10 strikeouts in 9 innings.			
<b>(奪三振)</b> <br> ピッチャーは9回で奪三振を10回記録しました。	[sound:s8-5855_ピッチャーは9回で奪三振を10回記録しました。.mp3] <br> ピッチャーは9かいでだっさんしんを10かいきろくしました。 <br> The pitcher recorded 10 strikeouts in 9 innings.			
[sound:k8-5856_本因坊.mp3]	本因坊 <br> ほんいんぼう <br> grand master of the game of go
grand master of the game of go	本因坊 <br> ほんいんぼう <br> [sound:k8-5856_本因坊.mp3]
本因坊	[sound:k8-5856_本因坊.mp3] <br> ほんいんぼう <br> grand master of the game of go
