[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
失策	[sound:k8-3792_失策.mp3] <br> しっさく <br> blunder, slip, error
[sound:s8-3792_彼はバンドから脱退した。.mp3]	<b>(脱退)</b> <br> 彼はバンドから脱退した。<br> かれはばんどからだったいした。 <br> He quit the band.			
<b>(脱退)</b> <br> 彼はバンドから脱退した。	[sound:s8-3792_彼はバンドから脱退した。.mp3] <br> かれはばんどからだったいした。 <br> He quit the band.			
[sound:k8-3793_失望.mp3]	失望 <br> しつぼう <br> disappointment, despair
disappointment, despair	失望 <br> しつぼう <br> [sound:k8-3793_失望.mp3]
失望	[sound:k8-3793_失望.mp3] <br> しつぼう <br> disappointment, despair
[sound:s8-3793_彼の政治的立場は進退をともにする。.mp3]	<b>(進退)</b> <br> 彼の政治的立場は進退をともにする。<br> かれのせいじてきたちばはしんたいをともにする。 <br> His political position is at a crossroads.			
<b>(進退)</b> <br> 彼の政治的立場は進退をともにする。	[sound:s8-3793_彼の政治的立場は進退をともにする。.mp3] <br> かれのせいじてきたちばはしんたいをともにする。 <br> His political position is at a crossroads.			
[sound:k8-3794_敵失.mp3]	敵失 <br> てきしつ <br> error made by the enemy or opposing team
error made by the enemy or opposing team	敵失 <br> てきしつ <br> [sound:k8-3794_敵失.mp3]
敵失	[sound:k8-3794_敵失.mp3] <br> てきしつ <br> error made by the enemy or opposing team
[sound:s8-3794_彼はCEOの職を退任した。.mp3]	<b>(退任)</b> <br> 彼はCEOの職を退任した。<br> かれはしーいーおーのしょくをたいにんした。 <br> He resigned from the position of CEO.			
<b>(退任)</b> <br> 彼はCEOの職を退任した。	[sound:s8-3794_彼はCEOの職を退任した。.mp3] <br> かれはしーいーおーのしょくをたいにんした。 <br> He resigned from the position of CEO.			
[sound:k8-3795_喪失.mp3]	喪失 <br> そうしつ <br> loss, forfeit
loss, forfeit	喪失 <br> そうしつ <br> [sound:k8-3795_喪失.mp3]
喪失	[sound:k8-3795_喪失.mp3] <br> そうしつ <br> loss, forfeit
[sound:s8-3795_彼は大学を中退して起業した。.mp3]	<b>(中退)</b> <br> 彼は大学を中退して起業した。<br> かれはだいがくをちゅうたいしてきぎょうした。 <br> He dropped out of college and started a business.			
<b>(中退)</b> <br> 彼は大学を中退して起業した。	[sound:s8-3795_彼は大学を中退して起業した。.mp3] <br> かれはだいがくをちゅうたいしてきぎょうした。 <br> He dropped out of college and started a business.			
[sound:k8-3796_移.mp3]	移 <br> (kun: うつ.る, うつ.す; on: イ) <br> shift, move, change, drift, catch (cold, fire), pass into
shift, move, change, drift, catch (cold, fire), pass into	移 <br> (kun: うつ.る, うつ.す; on: イ) <br> [sound:k8-3796_移.mp3]
移	[sound:k8-3796_移.mp3] <br> (kun: うつ.る, うつ.す; on: イ) <br> shift, move, change, drift, catch (cold, fire), pass into
[sound:s8-3796_彼はその役職を辞退した。.mp3]	<b>(辞退)</b> <br> 彼はその役職を辞退した。<br> かれはそのやくしょくをじたいした。 <br> He declined the position.			
<b>(辞退)</b> <br> 彼はその役職を辞退した。	[sound:s8-3796_彼はその役職を辞退した。.mp3] <br> かれはそのやくしょくをじたいした。 <br> He declined the position.			
[sound:k8-3797_移植.mp3]	移植 <br> いしょく <br> transplanting, porting, implantation, engrafting
transplanting, porting, implantation, engrafting	移植 <br> いしょく <br> [sound:k8-3797_移植.mp3]
移植	[sound:k8-3797_移植.mp3] <br> いしょく <br> transplanting, porting, implantation, engrafting
[sound:s8-3797_その車は安全基準を満たしている。.mp3]	<b>(準)</b> <br> その車は安全基準を満たしている。<br> そのくるまはあんぜんきじゅんをみたしている。 <br> The car meets safety standards.			
<b>(準)</b> <br> その車は安全基準を満たしている。	[sound:s8-3797_その車は安全基準を満たしている。.mp3] <br> そのくるまはあんぜんきじゅんをみたしている。 <br> The car meets safety standards.			
[sound:k8-3798_移行.mp3]	移行 <br> いこう <br> switching over to, migration
switching over to, migration	移行 <br> いこう <br> [sound:k8-3798_移行.mp3]
移行	[sound:k8-3798_移行.mp3] <br> いこう <br> switching over to, migration
[sound:s8-3798_学校の基準を満たしていない。.mp3]	<b>(基準)</b> <br> 学校の基準を満たしていない。<br> がっこうのきじゅんをみたしていない。 <br> It doesn't meet the school's standards.			
<b>(基準)</b> <br> 学校の基準を満たしていない。	[sound:s8-3798_学校の基準を満たしていない。.mp3] <br> がっこうのきじゅんをみたしていない。 <br> It doesn't meet the school's standards.			
[sound:k8-3799_移転.mp3]	移転 <br> いてん <br> moving, transfer, demise
moving, transfer, demise	移転 <br> いてん <br> [sound:k8-3799_移転.mp3]
移転	[sound:k8-3799_移転.mp3] <br> いてん <br> moving, transfer, demise
[sound:s8-3799_イベントの準備が整いました。.mp3]	<b>(準備)</b> <br> イベントの準備が整いました。<br> いべんとのじゅんびがととのいました。 <br> The preparations for the event are complete.			
<b>(準備)</b> <br> イベントの準備が整いました。	[sound:s8-3799_イベントの準備が整いました。.mp3] <br> いべんとのじゅんびがととのいました。 <br> The preparations for the event are complete.			
[sound:k8-3800_移動.mp3]	移動 <br> いどう <br> removal, migration, movement; mobile (e.g. communications)
removal, migration, movement; mobile (e.g. communications)	移動 <br> いどう <br> [sound:k8-3800_移動.mp3]
移動	[sound:k8-3800_移動.mp3] <br> いどう <br> removal, migration, movement; mobile (e.g. communications)
[sound:s8-3800_その学校の教育水準は高い。.mp3]	<b>(水準)</b> <br> その学校の教育水準は高い。<br> そのがっこうのきょういくすいじゅんはたかい。 <br> The educational level of the school is high.			
<b>(水準)</b> <br> その学校の教育水準は高い。	[sound:s8-3800_その学校の教育水準は高い。.mp3] <br> そのがっこうのきょういくすいじゅんはたかい。 <br> The educational level of the school is high.			
[sound:k8-3801_移民.mp3]	移民 <br> いみん <br> emigration, immigration; emigrant, immigrant
emigration, immigration; emigrant, immigrant	移民 <br> いみん <br> [sound:k8-3801_移民.mp3]
移民	[sound:k8-3801_移民.mp3] <br> いみん <br> emigration, immigration; emigrant, immigrant
[sound:s8-3801_これはこの業界の標準的な手法です。.mp3]	<b>(標準)</b> <br> これはこの業界の標準的な手法です。<br> これはこのぎょうかいのひょうじゅんてきなしゅほうです。 <br> This is a standard practice in this industry.			
<b>(標準)</b> <br> これはこの業界の標準的な手法です。	[sound:s8-3801_これはこの業界の標準的な手法です。.mp3] <br> これはこのぎょうかいのひょうじゅんてきなしゅほうです。 <br> This is a standard practice in this industry.			
[sound:k8-3802_移す.mp3]	移す <br> うつす <br> to change, to swap, to substitute, to transfer; to change the object of one's interest or focus; to spend or take time; to infect; to permeate something with the smell or colour of something; to move on to the next or different stage of (a plan, etc.)
to change, to swap, to substitute, to transfer; to change the object of one's interest or focus; to spend or take time; to infect; to permeate something with the smell or colour of something; to move on to the next or different stage of (a plan, etc.)	移す <br> うつす <br> [sound:k8-3802_移す.mp3]
移す	[sound:k8-3802_移す.mp3] <br> うつす <br> to change, to swap, to substitute, to transfer; to change the object of one's interest or focus; to spend or take time; to infect; to permeate something with the smell or colour of something; to move on to the next or different stage of (a plan, etc.)
[sound:s8-3802_彼は準決勝で敗退した。.mp3]	<b>(準決勝)</b> <br> 彼は準決勝で敗退した。<br> かれはじゅんけっしょうではいたいした。 <br> He was eliminated in the semifinals.			
<b>(準決勝)</b> <br> 彼は準決勝で敗退した。	[sound:s8-3802_彼は準決勝で敗退した。.mp3] <br> かれはじゅんけっしょうではいたいした。 <br> He was eliminated in the semifinals.			
[sound:k8-3803_推移.mp3]	推移 <br> すいい <br> transition, change
transition, change	推移 <br> すいい <br> [sound:k8-3803_推移.mp3]
推移	[sound:k8-3803_推移.mp3] <br> すいい <br> transition, change
[sound:s8-3803_その学校は高水準の教育を提供しています。.mp3]	<b>(高水準)</b> <br> その学校は高水準の教育を提供しています。<br> そのがっこうはこうすいじゅんのきょういくをていきょうしています。 <br> The school provides education at a high level.			
<b>(高水準)</b> <br> その学校は高水準の教育を提供しています。	[sound:s8-3803_その学校は高水準の教育を提供しています。.mp3] <br> そのがっこうはこうすいじゅんのきょういくをていきょうしています。 <br> The school provides education at a high level.			
[sound:k8-3804_移籍.mp3]	移籍 <br> いせき <br> changing household registry, transfer (e.g. of one's name in the register)
changing household registry, transfer (e.g. of one's name in the register)	移籍 <br> いせき <br> [sound:k8-3804_移籍.mp3]
移籍	[sound:k8-3804_移籍.mp3] <br> いせき <br> changing household registry, transfer (e.g. of one's name in the register)
[sound:s8-3804_その製品は品質が低水準だ。.mp3]	<b>(低水準)</b> <br> その製品は品質が低水準だ。<br> そのせいひんはひんしつがていすいじゅんだ。 <br> The product has low quality.			
<b>(低水準)</b> <br> その製品は品質が低水準だ。	[sound:s8-3804_その製品は品質が低水準だ。.mp3] <br> そのせいひんはひんしつがていすいじゅんだ。 <br> The product has low quality.			
[sound:k8-3805_移住.mp3]	移住 <br> いじゅう <br> migration, immigration
migration, immigration	移住 <br> いじゅう <br> [sound:k8-3805_移住.mp3]
移住	[sound:k8-3805_移住.mp3] <br> いじゅう <br> migration, immigration
[sound:s8-3805_照準を合わせて撃ってください。.mp3]	<b>(照準)</b> <br> 照準を合わせて撃ってください。<br> しょうじゅんをあわせてうってください。 <br> Adjust your aim and fire.			
<b>(照準)</b> <br> 照準を合わせて撃ってください。	[sound:s8-3805_照準を合わせて撃ってください。.mp3] <br> しょうじゅんをあわせてうってください。 <br> Adjust your aim and fire.			
[sound:k8-3806_移譲.mp3]	移譲 <br> いじょう <br> transfer, assignment
transfer, assignment	移譲 <br> いじょう <br> [sound:k8-3806_移譲.mp3]
移譲	[sound:k8-3806_移譲.mp3] <br> いじょう <br> transfer, assignment
[sound:s8-3806_その商品は準じる価格で売られています。.mp3]	<b>(準じる)</b> <br> その商品は準じる価格で売られています。<br> そのしょうひんはじゅんじるかかくでうられています。 <br> The product is sold at a comparable price.			
<b>(準じる)</b> <br> その商品は準じる価格で売られています。	[sound:s8-3806_その商品は準じる価格で売られています。.mp3] <br> そのしょうひんはじゅんじるかかくでうられています。 <br> The product is sold at a comparable price.			
[sound:k8-3807_差.mp3]	差 <br> (kun: さ.す, さ.し; on: サ) <br> distinction, difference, variation, discrepancy, margin, balance
distinction, difference, variation, discrepancy, margin, balance	差 <br> (kun: さ.す, さ.し; on: サ) <br> [sound:k8-3807_差.mp3]
差	[sound:k8-3807_差.mp3] <br> (kun: さ.す, さ.し; on: サ) <br> distinction, difference, variation, discrepancy, margin, balance
[sound:s8-3807_労働基準法は労働者の権利を保護します。.mp3]	<b>(労働基準法)</b> <br> 労働基準法は労働者の権利を保護します。<br> ろうどうきじゅんほうはろうどうしゃのけんりをほごします。 <br> The Labor Standards Act protects the rights of workers.			
<b>(労働基準法)</b> <br> 労働基準法は労働者の権利を保護します。	[sound:s8-3807_労働基準法は労働者の権利を保護します。.mp3] <br> ろうどうきじゅんほうはろうどうしゃのけんりをほごします。 <br> The Labor Standards Act protects the rights of workers.			
[sound:k8-3808_差.mp3]	差 <br> さ <br> difference, variation
difference, variation	差 <br> さ <br> [sound:k8-3808_差.mp3]
差	[sound:k8-3808_差.mp3] <br> さ <br> difference, variation
[sound:s8-3808_彼はその大会で優勝賞を手に入れた。.mp3]	<b>(賞)</b> <br> 彼はその大会で優勝賞を手に入れた。<br> かれはそのたいかいでゆうしょうしょうをてにいれた。 <br> He won the championship prize at the tournament.			
<b>(賞)</b> <br> 彼はその大会で優勝賞を手に入れた。	[sound:s8-3808_彼はその大会で優勝賞を手に入れた。.mp3] <br> かれはそのたいかいでゆうしょうしょうをてにいれた。 <br> He won the championship prize at the tournament.			
[sound:k8-3809_格差.mp3]	格差 <br> かくさ <br> qualitative difference, disparity
qualitative difference, disparity	格差 <br> かくさ <br> [sound:k8-3809_格差.mp3]
格差	[sound:k8-3809_格差.mp3] <br> かくさ <br> qualitative difference, disparity
[sound:s8-3809_彼はその映画でアカデミー賞を受賞した。.mp3]	<b>(受賞)</b> <br> 彼はその映画でアカデミー賞を受賞した。<br> かれはそのえいがであかでみーしょうをじゅしょうした。 <br> He won the Academy Award for that movie.			
<b>(受賞)</b> <br> 彼はその映画でアカデミー賞を受賞した。	[sound:s8-3809_彼はその映画でアカデミー賞を受賞した。.mp3] <br> かれはそのえいがであかでみーしょうをじゅしょうした。 <br> He won the Academy Award for that movie.			
[sound:k8-3810_差別.mp3]	差別 <br> さべつ <br> discrimination, distinction, differentiation
discrimination, distinction, differentiation	差別 <br> さべつ <br> [sound:k8-3810_差別.mp3]
差別	[sound:k8-3810_差別.mp3] <br> さべつ <br> discrimination, distinction, differentiation
[sound:s8-3810_彼は大会で賞金を獲得した。.mp3]	<b>(賞金)</b> <br> 彼は大会で賞金を獲得した。<br> かれはたいかいでしょうきんをかくとくした。 <br> He won prize money at the tournament.			
<b>(賞金)</b> <br> 彼は大会で賞金を獲得した。	[sound:s8-3810_彼は大会で賞金を獲得した。.mp3] <br> かれはたいかいでしょうきんをかくとくした。 <br> He won prize money at the tournament.			
[sound:k8-3811_差益.mp3]	差益 <br> さえき <br> marginal profits
marginal profits	差益 <br> さえき <br> [sound:k8-3811_差益.mp3]
差益	[sound:k8-3811_差益.mp3] <br> さえき <br> marginal profits
[sound:s8-3811_その映画はカンヌ映画祭で大賞を受賞した。.mp3]	<b>(大賞)</b> <br> その映画はカンヌ映画祭で大賞を受賞した。<br> そのえいがはかんぬえいがさいでたいしょうをじゅしょうした。 <br> The movie won the top prize at the Cannes Film Festival.			
<b>(大賞)</b> <br> その映画はカンヌ映画祭で大賞を受賞した。	[sound:s8-3811_その映画はカンヌ映画祭で大賞を受賞した。.mp3] <br> そのえいがはかんぬえいがさいでたいしょうをじゅしょうした。 <br> The movie won the top prize at the Cannes Film Festival.			
[sound:k8-3812_偏差値.mp3]	偏差値 <br> へんさち <br> deviation, deviation value; academic performance relative to the group average
deviation, deviation value; academic performance relative to the group average	偏差値 <br> へんさち <br> [sound:k8-3812_偏差値.mp3]
偏差値	[sound:k8-3812_偏差値.mp3] <br> へんさち <br> deviation, deviation value; academic performance relative to the group average
[sound:s8-3812_彼はその大会で入賞しました。.mp3]	<b>(入賞)</b> <br> 彼はその大会で入賞しました。<br> かれはそのたいかいでにゅうしょうしました。 <br> He placed in the tournament.			
<b>(入賞)</b> <br> 彼はその大会で入賞しました。	[sound:s8-3812_彼はその大会で入賞しました。.mp3] <br> かれはそのたいかいでにゅうしょうしました。 <br> He placed in the tournament.			
[sound:k8-3813_差し止め.mp3]	差し止め <br> さしとめ <br> prohibition, ban, suspension
prohibition, ban, suspension	差し止め <br> さしとめ <br> [sound:k8-3813_差し止め.mp3]
差し止め	[sound:k8-3813_差し止め.mp3] <br> さしとめ <br> prohibition, ban, suspension
[sound:s8-3813_彼女はそのコンテストで賞状を受け取った。.mp3]	<b>(賞状)</b> <br> 彼女はそのコンテストで賞状を受け取った。<br> かのじょはそのこんてすとでしょうじょうをうけとった。 <br> She received a certificate of commendation in the contest.			
<b>(賞状)</b> <br> 彼女はそのコンテストで賞状を受け取った。	[sound:s8-3813_彼女はそのコンテストで賞状を受け取った。.mp3] <br> かのじょはそのこんてすとでしょうじょうをうけとった。 <br> She received a certificate of commendation in the contest.			
[sound:k8-3814_大差.mp3]	大差 <br> たいさ <br> great difference
great difference	大差 <br> たいさ <br> [sound:k8-3814_大差.mp3]
大差	[sound:k8-3814_大差.mp3] <br> たいさ <br> great difference
[sound:s8-3814_授賞式は華やかなイベントでした。.mp3]	<b>(授賞式)</b> <br> 授賞式は華やかなイベントでした。<br> じゅしょうしきははなやかないべんとでした。 <br> The awards ceremony was a glamorous event.			
<b>(授賞式)</b> <br> 授賞式は華やかなイベントでした。	[sound:s8-3814_授賞式は華やかなイベントでした。.mp3] <br> じゅしょうしきははなやかないべんとでした。 <br> The awards ceremony was a glamorous event.			
[sound:k8-3815_交差点.mp3]	交差点 <br> こうさてん <br> crossing, intersection
crossing, intersection	交差点 <br> こうさてん <br> [sound:k8-3815_交差点.mp3]
交差点	[sound:k8-3815_交差点.mp3] <br> こうさてん <br> crossing, intersection
[sound:s8-3815_彼女はその映画で副賞を受賞した。.mp3]	<b>(副賞)</b> <br> 彼女はその映画で副賞を受賞した。<br> かのじょはそのえいがでふくしょうをじゅしょうした。 <br> She won a secondary prize for the movie.			
<b>(副賞)</b> <br> 彼女はその映画で副賞を受賞した。	[sound:s8-3815_彼女はその映画で副賞を受賞した。.mp3] <br> かのじょはそのえいがでふくしょうをじゅしょうした。 <br> She won a secondary prize for the movie.			
[sound:k8-3816_差額.mp3]	差額 <br> さがく <br> balance, difference, margin
balance, difference, margin	差額 <br> さがく <br> [sound:k8-3816_差額.mp3]
差額	[sound:k8-3816_差額.mp3] <br> さがく <br> balance, difference, margin
[sound:s8-3816_美術館で絵画を鑑賞しました。.mp3]	<b>(鑑賞)</b> <br> 美術館で絵画を鑑賞しました。<br> びじゅつかんでかんしょうしました。 <br> I viewed paintings at the art museum.			
<b>(鑑賞)</b> <br> 美術館で絵画を鑑賞しました。	[sound:s8-3816_美術館で絵画を鑑賞しました。.mp3] <br> びじゅつかんでかんしょうしました。 <br> I viewed paintings at the art museum.			
[sound:k8-3817_落差.mp3]	落差 <br> らくさ <br> a head (of water), a difference
a head (of water), a difference	落差 <br> らくさ <br> [sound:k8-3817_落差.mp3]
落差	[sound:k8-3817_落差.mp3] <br> らくさ <br> a head (of water), a difference
[sound:s8-3817_その抽選で豪華な賞品が当たりました。.mp3]	<b>(賞品)</b> <br> その抽選で豪華な賞品が当たりました。<br> そのちゅうせんでごうかなしょうひんがあたりました。 <br> I won a luxurious prize in the raffle.			
<b>(賞品)</b> <br> その抽選で豪華な賞品が当たりました。	[sound:s8-3817_その抽選で豪華な賞品が当たりました。.mp3] <br> そのちゅうせんでごうかなしょうひんがあたりました。 <br> I won a luxurious prize in the raffle.			
[sound:k8-3818_衆.mp3]	衆 <br> (kun: おお.い; on: シュウ, シュ) <br> masses, great numbers, multitude, populace
masses, great numbers, multitude, populace	衆 <br> (kun: おお.い; on: シュウ, シュ) <br> [sound:k8-3818_衆.mp3]
衆	[sound:k8-3818_衆.mp3] <br> (kun: おお.い; on: シュウ, シュ) <br> masses, great numbers, multitude, populace
[sound:s8-3818_彼は裁判で訴訟を起こした。.mp3]	<b>(訴)</b> <br> 彼は裁判で訴訟を起こした。<br> かれはさいばんでそしょうをおこした。 <br> He filed a lawsuit in court.			
<b>(訴)</b> <br> 彼は裁判で訴訟を起こした。	[sound:s8-3818_彼は裁判で訴訟を起こした。.mp3] <br> かれはさいばんでそしょうをおこした。 <br> He filed a lawsuit in court.			
[sound:k8-3819_衆院.mp3]	衆院 <br> しゅういん <br> lower house of the Diet
lower house of the Diet	衆院 <br> しゅういん <br> [sound:k8-3819_衆院.mp3]
衆院	[sound:k8-3819_衆院.mp3] <br> しゅういん <br> lower house of the Diet
[sound:s8-3819_彼の訴えは裁判官に認められた。.mp3]	<b>(訴え)</b> <br> 彼の訴えは裁判官に認められた。<br> かれのうったえはさいばんかんにみとめられた。 <br> His appeal was accepted by the judge.			
<b>(訴え)</b> <br> 彼の訴えは裁判官に認められた。	[sound:s8-3819_彼の訴えは裁判官に認められた。.mp3] <br> かれのうったえはさいばんかんにみとめられた。 <br> His appeal was accepted by the judge.			
[sound:k8-3820_大衆.mp3]	大衆 <br> たいしゅう <br> general public
general public	大衆 <br> たいしゅう <br> [sound:k8-3820_大衆.mp3]
大衆	[sound:k8-3820_大衆.mp3] <br> たいしゅう <br> general public
[sound:s8-3820_その事件は裁判で訴訟されています。.mp3]	<b>(訴訟)</b> <br> その事件は裁判で訴訟されています。<br> そのじけんはさいばんでそしょうされています。 <br> The case is being litigated in court.			
<b>(訴訟)</b> <br> その事件は裁判で訴訟されています。	[sound:s8-3820_その事件は裁判で訴訟されています。.mp3] <br> そのじけんはさいばんでそしょうされています。 <br> The case is being litigated in court.			
[sound:k8-3821_民衆.mp3]	民衆 <br> みんしゅう <br> people, populace, masses
people, populace, masses	民衆 <br> みんしゅう <br> [sound:k8-3821_民衆.mp3]
民衆	[sound:k8-3821_民衆.mp3] <br> みんしゅう <br> people, populace, masses
[sound:s8-3821_彼は窃盗の容疑で起訴された。.mp3]	<b>(起訴)</b> <br> 彼は窃盗の容疑で起訴された。<br> かれはせっとうのようぎできそされた。 <br> He was charged with theft.			
<b>(起訴)</b> <br> 彼は窃盗の容疑で起訴された。	[sound:s8-3821_彼は窃盗の容疑で起訴された。.mp3] <br> かれはせっとうのようぎできそされた。 <br> He was charged with theft.			
[sound:k8-3822_衆.mp3]	衆 <br> しゅう, しゅ <br> masses, great number, the people
masses, great number, the people	衆 <br> しゅう, しゅ <br> [sound:k8-3822_衆.mp3]
衆	[sound:k8-3822_衆.mp3] <br> しゅう, しゅ <br> masses, great number, the people
[sound:s8-3822_起訴された男性は無実を主張しています。.mp3]	<b>(起訴)</b> <br> 起訴された男性は無実を主張しています。<br> きそされただんせいはむじつをしゅちしています。 <br> The man who was indicted claims innocence.			
<b>(起訴)</b> <br> 起訴された男性は無実を主張しています。	[sound:s8-3822_起訴された男性は無実を主張しています。.mp3] <br> きそされただんせいはむじつをしゅちしています。 <br> The man who was indicted claims innocence.			
[sound:k8-3823_聴衆.mp3]	聴衆 <br> ちょうしゅう <br> audience, attendance, hearers
audience, attendance, hearers	聴衆 <br> ちょうしゅう <br> [sound:k8-3823_聴衆.mp3]
聴衆	[sound:k8-3823_聴衆.mp3] <br> ちょうしゅう <br> audience, attendance, hearers
[sound:s8-3823_彼は判決に不満で控訴しました。.mp3]	<b>(控訴)</b> <br> 彼は判決に不満で控訴しました。<br> かれははんけつにふまんでこうそしました。 <br> He appealed the verdict due to dissatisfaction.			
<b>(控訴)</b> <br> 彼は判決に不満で控訴しました。	[sound:s8-3823_彼は判決に不満で控訴しました。.mp3] <br> かれははんけつにふまんでこうそしました。 <br> He appealed the verdict due to dissatisfaction.			
[sound:k8-3824_衆議院.mp3]	衆議院 <br> しゅうぎいん <br> lower house, House of Representatives
lower house, House of Representatives	衆議院 <br> しゅうぎいん <br> [sound:k8-3824_衆議院.mp3]
衆議院	[sound:k8-3824_衆議院.mp3] <br> しゅうぎいん <br> lower house, House of Representatives
[sound:s8-3824_彼女は会社に対して提訴を行いました。.mp3]	<b>(提訴)</b> <br> 彼女は会社に対して提訴を行いました。<br> かのじょはかいしゃにたいしてていそをおこないました。 <br> She filed a lawsuit against the company.			
<b>(提訴)</b> <br> 彼女は会社に対して提訴を行いました。	[sound:s8-3824_彼女は会社に対して提訴を行いました。.mp3] <br> かのじょはかいしゃにたいしてていそをおこないました。 <br> She filed a lawsuit against the company.			
[sound:k8-3825_観衆.mp3]	観衆 <br> かんしゅう <br> spectators, onlookers, members of the audience
spectators, onlookers, members of the audience	観衆 <br> かんしゅう <br> [sound:k8-3825_観衆.mp3]
観衆	[sound:k8-3825_観衆.mp3] <br> かんしゅう <br> spectators, onlookers, members of the audience
[sound:s8-3825_彼は訴状を書いて法廷に提出しました。.mp3]	<b>(訴状)</b> <br> 彼は訴状を書いて法廷に提出しました。<br> かれはそじょうをかいてほうていにていしゅつしました。 <br> He wrote a complaint and submitted it to the court.			
<b>(訴状)</b> <br> 彼は訴状を書いて法廷に提出しました。	[sound:s8-3825_彼は訴状を書いて法廷に提出しました。.mp3] <br> かれはそじょうをかいてほうていにていしゅつしました。 <br> He wrote a complaint and submitted it to the court.			
[sound:k8-3826_公衆電話.mp3]	公衆電話 <br> こうしゅうでんわ <br> public telephone, pay phone
public telephone, pay phone	公衆電話 <br> こうしゅうでんわ <br> [sound:k8-3826_公衆電話.mp3]
公衆電話	[sound:k8-3826_公衆電話.mp3] <br> こうしゅうでんわ <br> public telephone, pay phone
[sound:s8-3826_彼は友人を警察に告訴しました。.mp3]	<b>(告訴)</b> <br> 彼は友人を警察に告訴しました。<br> かれはゆうじんをけいさつにこくそしました。 <br> He reported his friend to the police.			
<b>(告訴)</b> <br> 彼は友人を警察に告訴しました。	[sound:s8-3826_彼は友人を警察に告訴しました。.mp3] <br> かれはゆうじんをけいさつにこくそしました。 <br> He reported his friend to the police.			
[sound:k8-3827_群衆.mp3]	群衆 <br> ぐんしゅう, ぐんしゅ, ぐんじゅ <br> group (of people), crowd, horde, throng, mob, multitude
group (of people), crowd, horde, throng, mob, multitude	群衆 <br> ぐんしゅう, ぐんしゅ, ぐんじゅ <br> [sound:k8-3827_群衆.mp3]
群衆	[sound:k8-3827_群衆.mp3] <br> ぐんしゅう, ぐんしゅ, ぐんじゅ <br> group (of people), crowd, horde, throng, mob, multitude
[sound:s8-3827_彼は裁判で勝訴しました。.mp3]	<b>(勝訴)</b> <br> 彼は裁判で勝訴しました。<br> かれはさいばんでしょうそしました。 <br> He won the lawsuit in court.			
<b>(勝訴)</b> <br> 彼は裁判で勝訴しました。	[sound:s8-3827_彼は裁判で勝訴しました。.mp3] <br> かれはさいばんでしょうそしました。 <br> He won the lawsuit in court.			
[sound:k8-3828_公衆.mp3]	公衆 <br> こうしゅう <br> the public, general public
the public, general public	公衆 <br> こうしゅう <br> [sound:k8-3828_公衆.mp3]
公衆	[sound:k8-3828_公衆.mp3] <br> こうしゅう <br> the public, general public
[sound:s8-3828_彼の犯罪については不起訴となりました。.mp3]	<b>(不起訴)</b> <br> 彼の犯罪については不起訴となりました。<br> かれのはんざいについてはふきそとなりました。 <br> He was not prosecuted for his crime.			
<b>(不起訴)</b> <br> 彼の犯罪については不起訴となりました。	[sound:s8-3828_彼の犯罪については不起訴となりました。.mp3] <br> かれのはんざいについてはふきそとなりました。 <br> He was not prosecuted for his crime.			
[sound:k8-3829_個.mp3]	個 <br> (on: コ, カ) <br> meaning: individual, counter for articles
meaning: individual, counter for articles	個 <br> (on: コ, カ) <br> [sound:k8-3829_個.mp3]
個	[sound:k8-3829_個.mp3] <br> (on: コ, カ) <br> meaning: individual, counter for articles
[sound:s8-3829_彼は裁判で敗訴しました。.mp3]	<b>(敗訴)</b> <br> 彼は裁判で敗訴しました。<br> かれはさいばんではいそしました。 <br> He lost the lawsuit in court.			
<b>(敗訴)</b> <br> 彼は裁判で敗訴しました。	[sound:s8-3829_彼は裁判で敗訴しました。.mp3] <br> かれはさいばんではいそしました。 <br> He lost the lawsuit in court.			
[sound:k8-3830_個人.mp3]	個人 <br> こじん <br> individual, private person, personal, private
individual, private person, personal, private	個人 <br> こじん <br> [sound:k8-3830_個人.mp3]
個人	[sound:k8-3830_個人.mp3] <br> こじん <br> individual, private person, personal, private
[sound:s8-3830_彼の家は町の辺にあります。.mp3]	<b>(辺)</b> <br> 彼の家は町の辺にあります。<br> かれのいえはまちのへんにあります。 <br> His house is on the edge of town.			
<b>(辺)</b> <br> 彼の家は町の辺にあります。	[sound:s8-3830_彼の家は町の辺にあります。.mp3] <br> かれのいえはまちのへんにあります。 <br> His house is on the edge of town.			
[sound:k8-3831_個別.mp3]	個別 <br> こべつ <br> particular case, discrete, individual, separate
particular case, discrete, individual, separate	個別 <br> こべつ <br> [sound:k8-3831_個別.mp3]
個別	[sound:k8-3831_個別.mp3] <br> こべつ <br> particular case, discrete, individual, separate
[sound:s8-3831_この辺りには美しい公園があります。.mp3]	<b>(辺)</b> <br> この辺りには美しい公園があります。<br> このあたりにはうつくしいこうえんがあります。 <br> There is a beautiful park around here.			
<b>(辺)</b> <br> この辺りには美しい公園があります。	[sound:s8-3831_この辺りには美しい公園があります。.mp3] <br> このあたりにはうつくしいこうえんがあります。 <br> There is a beautiful park around here.			
[sound:k8-3832_個性.mp3]	個性 <br> こせい <br> individuality, personality, idiosyncrasy
individuality, personality, idiosyncrasy	個性 <br> こせい <br> [sound:k8-3832_個性.mp3]
個性	[sound:k8-3832_個性.mp3] <br> こせい <br> individuality, personality, idiosyncrasy
