[sound:s8-0001_早く起きた。.mp3]	<b>(早)</b> <br> 早く起きた。<br> はやくおきた。 <br> I woke up early.			
[sound:s8-3076_今夏は涼しい日が多いですね。.mp3]	<b>(今夏)</b> <br> 今夏は涼しい日が多いですね。<br> こんなつはすずしいひがおおいですね。 <br> There are many cool days this summer, aren't there?			
[sound:s8-3077_今年は冷夏で、例年よりも涼しい日が多い。.mp3]	<b>(冷夏)</b> <br> 今年は冷夏で、例年よりも涼しい日が多い。<br> ことしはれいかで、れいねんよりもすずしいひがおおい。 <br> This year is a cold summer, with cooler days than usual.			
[sound:s8-3078_夏場は冷たい飲み物がよく飲まれる。.mp3]	<b>(夏場)</b> <br> 夏場は冷たい飲み物がよく飲まれる。<br> なつばはつめたいのみものがよくのまれる。 <br> Cold drinks are often consumed in the summer.			
[sound:s8-3079_夏季にはプールで泳ぐのが好きです。.mp3]	<b>(夏季)</b> <br> 夏季にはプールで泳ぐのが好きです。<br> なつきにはプールでおよぐのがすきです。 <br> I like swimming in the pool during the summer.			
[sound:s8-3080_夏場所の相撲大会が盛り上がっている。.mp3]	<b>(夏場所)</b> <br> 夏場所の相撲大会が盛り上がっている。<br> なつばしょのすもうたいかいがもりあがっている。 <br> The sumo tournament in summer is exciting.			
[sound:s8-3081_真夏の太陽はとても眩しい。.mp3]	<b>(真夏)</b> <br> 真夏の太陽はとても眩しい。<br> まなつのたいようはとてもまぶしい。 <br> The midsummer sun is very bright.			
[sound:s8-3082_初夏の風は爽やかで気持ちがいい。.mp3]	<b>(初夏)</b> <br> 初夏の風は爽やかで気持ちがいい。<br> しょかのかぜはさわやかできもちがいい。 <br> The early summer breeze is refreshing and pleasant.			
[sound:s8-3083_夏時間が始まると、夕方の明るさが変わる。.mp3]	<b>(夏時間)</b> <br> 夏時間が始まると、夕方の明るさが変わる。<br> なつじかんがはじまると、ゆうがたのあかるさがかわる。 <br> When daylight saving time starts, the brightness of the evening changes.			
[sound:s8-3084_この料理は素材の味を生かすように作られている。.mp3]	<b>(素)</b> <br> この料理は素材の味を生かすように作られている。<br> このりょうりはそざいのあじをいかすようにつくられている。 <br> This dish is made to bring out the flavor of the ingredients.			
[sound:s8-3085_素敵な景色に感動した。.mp3]	<b>(素)</b> <br> 素敵な景色に感動した。<br> すてきなけしきにかんどうした。 <br> I was impressed by the beautiful scenery.			
[sound:s8-3086_料理の成功は良い素材から始まる。.mp3]	<b>(素材)</b> <br> 料理の成功は良い素材から始まる。<br> りょうりのせいこうはよいそざいからはじまる。 <br> The success of a dish starts with good ingredients.			
[sound:s8-3087_健康の要素は食事、運動、そして睡眠です。.mp3]	<b>(要素)</b> <br> 健康の要素は食事、運動、そして睡眠です。<br> けんこうのようそはしょくじ、うんどう、そしてすいみんです。 <br> The elements of health are diet, exercise, and sleep.			
[sound:s8-3088_彼女は素直な性格で、誰とでも仲良くなれる。.mp3]	<b>(素直)</b> <br> 彼女は素直な性格で、誰とでも仲良くなれる。<br> かのじょはすなおなせいかくで、だれとでもなかよくなれる。 <br> She has a straightforward personality and can get along with anyone.			
[sound:s8-3089_炭素は地球上の生命の基本的な構成要素の一つです。.mp3]	<b>(炭素)</b> <br> 炭素は地球上の生命の基本的な構成要素の一つです。<br> たんそはちきゅうじょうのせいめいのきほんてきなこうせいようそのひとつです。 <br> Carbon is one of the fundamental building blocks of life on Earth.			
[sound:s8-3090_酸素は人間の生存に不可欠な要素です。.mp3]	<b>(酸素)</b> <br> 酸素は人間の生存に不可欠な要素です。<br> さんそはにんげんのせいぞんにふかけつなようそです。 <br> Oxygen is an essential element for human survival.			
[sound:s8-3091_その部屋のデザインは簡素で清潔感がある。.mp3]	<b>(簡素)</b> <br> その部屋のデザインは簡素で清潔感がある。<br> そのへやのデザインはかんそでせいけつかんがある。 <br> The design of the room is simple and clean.			
[sound:s8-3092_彼は料理が得意な素人だ。.mp3]	<b>(素人)</b> <br> 彼は料理が得意な素人だ。<br> かれはりょうりがとくいなしろうとだ。 <br> He's an amateur who is good at cooking.			
[sound:s8-3093_窒素は大気中の主要な成分の一つである。.mp3]	<b>(窒素)</b> <br> 窒素は大気中の主要な成分の一つである。<br> ちっそはたいきちゅうのしゅようなせいぶんのひとつである。 <br> Nitrogen is one of the main components of the atmosphere.			
[sound:s8-3094_水素は非常に軽い元素である。.mp3]	<b>(水素)</b> <br> 水素は非常に軽い元素である。<br> すいそはひじょうにかるいげんそである。 <br> Hydrogen is an extremely light element.			
[sound:s8-3095_その国の英雄は亡くなった後も尊敬されている。.mp3]	<b>(亡)</b> <br> その国の英雄は亡くなった後も尊敬されている。<br> そのくにのえいゆうはなくなったあともそんけいされている。 <br> The hero of that country is still respected even after his death.			
[sound:s8-3096_事故で数名が死亡した。.mp3]	<b>(死亡)</b> <br> 事故で数名が死亡した。<br> じこですうめいがしぼうした。 <br> Some people died in the accident.			
[sound:s8-3097_政治的な迫害を逃れて彼は亡命した。.mp3]	<b>(亡命)</b> <br> 政治的な迫害を逃れて彼は亡命した。<br> せいじてきなはくがをのがれてかれはぼうめいした。 <br> He fled into exile to escape political persecution.			
[sound:s8-3098_その地域の死亡率は急速に上昇している。.mp3]	<b>(死亡率)</b> <br> その地域の死亡率は急速に上昇している。<br> そのちいきのしぼうりつはきゅうそくにじょうしょうしている。 <br> The mortality rate in that area is rising rapidly.			
[sound:s8-3099_犯人は逃亡中です。.mp3]	<b>(逃亡)</b> <br> 犯人は逃亡中です。<br> はんにんはとうぼうちゅうです。 <br> The criminal is on the run.			
[sound:s8-3100_事故の死亡者が増えている。.mp3]	<b>(死亡者)</b> <br> 事故の死亡者が増えている。<br> じこのしぼうしゃがふえている。 <br> The number of fatalities in accidents is increasing.			
[sound:s8-3101_彼女は若くして未亡人になった。.mp3]	<b>(未亡人)</b> <br> 彼女は若くして未亡人になった。<br> かのじょはわかくしてみぼうじんになった。 <br> She became a widow at a young age.			
[sound:s8-3102_その国の存亡が危ぶまれている。.mp3]	<b>(存亡)</b> <br> その国の存亡が危ぶまれている。<br> そのくにのそんぼうがあやぶまれている。 <br> The survival of that country is in doubt.			
[sound:s8-3103_その屋敷には亡霊が出ると言われている。.mp3]	<b>(亡霊)</b> <br> その屋敷には亡霊が出ると言われている。<br> そのやしきにはぼうれいがでるといわれている。 <br> It is said that there are ghosts in that mansion.			
[sound:s8-3104_王国は滅亡の危機に瀕している。.mp3]	<b>(滅亡)</b> <br> 王国は滅亡の危機に瀕している。<br> おうこくはめつぼうのききにひんしている。 <br> The kingdom is on the brink of destruction.			
[sound:s8-3105_彼は亡父の仇を討つ決意をしている。.mp3]	<b>(亡父)</b> <br> 彼は亡父の仇を討つ決意をしている。<br> かれはぼうふのあだをうつきめをしている。 <br> He is determined to avenge his deceased father.			
[sound:s8-3106_その劇は感動的で心に残った。.mp3]	<b>(劇)</b> <br> その劇は感動的で心に残った。<br> そのげきはかんどうてきでこころにのこった。 <br> The play was moving and stayed in my heart.			
[sound:s8-3107_彼は学校の劇で主役を演じた。.mp3]	<b>(劇)</b> <br> 彼は学校の劇で主役を演じた。<br> かれはがっこうのげきでしゅやくをえんじた。 <br> He played the leading role in the school play.			
[sound:s8-3108_新しい劇場が市内に建設された。.mp3]	<b>(劇場)</b> <br> 新しい劇場が市内に建設された。<br> あたらしいげきじょうがしないにけんせつされた。 <br> A new theater was built in the city.			
[sound:s8-3109_彼女は演劇の才能に恵まれている。.mp3]	<b>(演劇)</b> <br> 彼女は演劇の才能に恵まれている。<br> かのじょはえんげきのさいのうにめぐまれている。 <br> She is blessed with talent in acting.			
[sound:s8-3110_その劇団は数々の賞を受賞している。.mp3]	<b>(劇団)</b> <br> その劇団は数々の賞を受賞している。<br> そのげきだんはかずかずのしょうをじゅしょうしている。 <br> The theater troupe has won numerous awards.			
[sound:s8-3111_彼の人生は悲劇の連続だった。.mp3]	<b>(悲劇)</b> <br> 彼の人生は悲劇の連続だった。<br> かれのじんせいはひげきのれんぞくだった。 <br> His life was a series of tragedies.			
[sound:s8-3112_彼女は歌劇のプロデューサーとして成功した。.mp3]	<b>(歌劇)</b> <br> 彼女は歌劇のプロデューサーとして成功した。<br> かのじょはかげきのプロデューサーとしてせいこうした。 <br> She succeeded as a producer in the opera world.			
[sound:s8-3113_その喜劇は観客を笑いの渦に巻き込んだ。.mp3]	<b>(喜劇)</b> <br> その喜劇は観客を笑いの渦に巻き込んだ。<br> そのきげきはかんきゃくをわらいのうずにまきこんだ。 <br> The comedy drew the audience into a whirlwind of laughter.			
[sound:s8-3114_彼の回復は劇的だった。.mp3]	<b>(劇的)</b> <br> 彼の回復は劇的だった。<br> かれのかいふくはげきてきだった。 <br> His recovery was dramatic.			
[sound:s8-3115_日本の時代劇は歴史的な情景を描き出す。.mp3]	<b>(時代劇)</b> <br> 日本の時代劇は歴史的な情景を描き出す。<br> にほんのじだいげきはれきしてきなじょうけいをえがきだす。 <br> Japanese historical dramas depict historical scenes.			
[sound:s8-3116_彼女はその劇作で賞を受賞した。.mp3]	<b>(劇作)</b> <br> 彼女はその劇作で賞を受賞した。<br> かのじょはそのげきさくでしょうをじゅしょうした。 <br> She won an award for her playwriting.			
[sound:s8-3117_その町を流れる河は美しい景色を作り出している。.mp3]	<b>(河)</b> <br> その町を流れる河は美しい景色を作り出している。<br> そのまちをながれるかわはうつくしいけしきをつくりだしている。 <br> The river flowing through the town creates beautiful scenery.			
[sound:s8-3118_河は多くの人々の生活に不可欠だ。.mp3]	<b>(河)</b> <br> 河は多くの人々の生活に不可欠だ。<br> かわはおおくのひとびとのせいかつにふかけつだ。 <br> Rivers are indispensable to the lives of many people.			
[sound:s8-3119_その国は豊かな河川がある。.mp3]	<b>(河川)</b> <br> その国は豊かな河川がある。<br> そのくにはゆたかなかせんがある。 <br> The country has abundant rivers.			
[sound:s8-3120_河口の水は塩分が多い。.mp3]	<b>(河口)</b> <br> 河口の水は塩分が多い。<br> かこうのみずはえんぶんがおおい。 <br> The water at the river mouth has a high salt content.			
[sound:s8-3121_大河ドラマは視聴率が高い。.mp3]	<b>(大河)</b> <br> 大河ドラマは視聴率が高い。<br> たいがドラマはしちょうりつがたかい。 <br> Epic dramas have high viewer ratings.			
[sound:s8-3122_夏の日には河原でピクニックをするのが楽しい。.mp3]	<b>(河原)</b> <br> 夏の日には河原でピクニックをするのが楽しい。<br> なつのひにはかわらでピクニックをするのがたのしい。 <br> It's fun to have a picnic on the riverbank on summer days.			
[sound:s8-3123_星空には美しい銀河が広がっている。.mp3]	<b>(銀河)</b> <br> 星空には美しい銀河が広がっている。<br> ほしぞらにはうつくしいぎんががひろがっている。 <br> The beautiful Milky Way stretches across the night sky.			
[sound:s8-3124_洪水で河川敷が浸水した。.mp3]	<b>(河川敷)</b> <br> 洪水で河川敷が浸水した。<br> こうずいでかせんしきがしんすいした。 <br> The riverside was flooded due to the flood.			
[sound:s8-3125_この都市には歴史的な運河が多い。.mp3]	<b>(運河)</b> <br> この都市には歴史的な運河が多い。<br> このとしにはれきしてきなうんががおおい。 <br> This city has many historical canals.			
[sound:s8-3126_氷河の溶解が地球温暖化の問題となっている。.mp3]	<b>(氷河)</b> <br> 氷河の溶解が地球温暖化の問題となっている。<br> ひょうがのようかいがちきゅうおんだんかのもんだいとなっている。 <br> The melting of glaciers has become a problem of global warming.			
[sound:s8-3127_河岸で散歩するのは気持ちがいい。.mp3]	<b>(河岸)</b> <br> 河岸で散歩するのは気持ちがいい。<br> かがんでさんぽするのはきもちがいい。 <br> It feels good to take a walk along the riverbank.			
[sound:s8-3128_彼は日本への外交使節を遣わされた。.mp3]	<b>(遣)</b> <br> 彼は日本への外交使節を遣わされた。<br> かれはにほんへのがいこうしせつをつかわされた。 <br> He was sent as a diplomatic envoy to Japan.			
[sound:s8-3129_会社は彼を海外へ派遣した。.mp3]	<b>(派遣)</b> <br> 会社は彼を海外へ派遣した。<br> かいしゃはかれをかいがいへはけんした。 <br> The company dispatched him overseas.			
[sound:s8-3130_子供たちは週に一度小遣いをもらう。.mp3]	<b>(小遣い)</b> <br> 子供たちは週に一度小遣いをもらう。<br> こどもたちはしゅうにいちどこづかいをもらう。 <br> The children receive pocket money once a week.			
[sound:s8-3131_先遣隊が先に進んで偵察を行った。.mp3]	<b>(先遣)</b> <br> 先遣隊が先に進んで偵察を行った。<br> せんけんたいがさきにすすんでていさつをおこなった。 <br> The advance team went ahead and conducted reconnaissance.			
[sound:s8-3132_無駄遣いをしないように財布の中身を確認した。.mp3]	<b>(無駄遣い)</b> <br> 無駄遣いをしないように財布の中身を確認した。<br> むだづかいをしないようにさいふのなかみをかくにんした。 <br> I checked the contents of my wallet to avoid wasting money.			
[sound:s8-3133_彼女の言葉遣いはとても丁寧だ。.mp3]	<b>(言葉遣い)</b> <br> 彼女の言葉遣いはとても丁寧だ。<br> かのじょのことばづかいはとてもていねいだ。 <br> Her choice of words is very polite.			
[sound:s8-3134_彼はいつも周りの人への気遣いができる。.mp3]	<b>(気遣い)</b> <br> 彼はいつも周りの人への気遣いができる。<br> かれはいつもまわりのひとへのきづかいができる。 <br> He always cares for the people around him.			
[sound:s8-3135_彼女は友人への心遣いが素晴らしい。.mp3]	<b>(心遣い)</b> <br> 彼女は友人への心遣いが素晴らしい。<br> かのじょはゆうじんへのこころづかいがすばらしい。 <br> Her consideration for her friends is wonderful.			
[sound:s8-3136_遣唐使は古代日本の外交使節団だった。.mp3]	<b>(遣唐使)</b> <br> 遣唐使は古代日本の外交使節団だった。<br> けんとうしはこだいにほんのがいこうしせつだった。 <br> The envoy to Tang China was a diplomatic mission from ancient Japan.			
[sound:s8-3137_彼女は人形遣いの芸術家だ。.mp3]	<b>(人形遣い)</b> <br> 彼女は人形遣いの芸術家だ。<br> かのじょはにんぎょうづかいのげいじゅつかだ。 <br> She is an artist who manipulates puppets.			
[sound:s8-3138_友人の健康を心配して気遣った。.mp3]	<b>(気遣う)</b> <br> 友人の健康を心配して気遣った。<br> ゆうじんのけんこうをしんぱいしてきづかった。 <br> I worried about my friend's health and showed my concern.			
[sound:s8-3139_彼は航空会社で働いている。.mp3]	<b>(航)</b> <br> 彼は航空会社で働いている。<br> かれはこうくうがいしゃではたらいている。 <br> He works for an airline company.			
[sound:s8-3140_航空便が欠航する可能性があります。.mp3]	<b>(航空)</b> <br> 航空便が欠航する可能性があります。<br> こうくうびんがけっこうするかのうせいがあります。 <br> There is a possibility that flights may be canceled.			
[sound:s8-3141_彼は巨大な航空機を見て驚いた。.mp3]	<b>(航空機)</b> <br> 彼は巨大な航空機を見て驚いた。<br> かれはきょだいなこうくうきをみておどろいた。 <br> He was amazed to see the gigantic aircraft.			
[sound:s8-3142_日航の便は時間通りに出発しました。.mp3]	<b>(日航)</b> <br> 日航の便は時間通りに出発しました。<br> にっこうのびんはじかんどおりにしゅっぱつしました。 <br> Japan Airlines' flight departed on time.			
[sound:s8-3143_日本航空は世界的に有名な航空会社だ。.mp3]	<b>(日本航空)</b> <br> 日本航空は世界的に有名な航空会社だ。<br> にほんこうくうはせかいてきにゆうめいなこうくうがいしゃだ。 <br> Japan Airlines is a globally renowned airline.			
[sound:s8-3144_台風の影響で便が運航中止となりました。.mp3]	<b>(運航)</b> <br> 台風の影響で便が運航中止となりました。<br> たいふうのえいきょうでびんがうんこうちゅうしとなりました。 <br> Flights were canceled due to the typhoon.			
[sound:s8-3145_彼は長い航海の後、ついに港に戻った。.mp3]	<b>(航海)</b> <br> 彼は長い航海の後、ついに港に戻った。<br> かれはながいこうかいのあと、ついにみなとにもどった。 <br> After a long voyage, he finally returned to port.			
[sound:s8-3146_彼はビザを取得して渡航した。.mp3]	<b>(渡航)</b> <br> 彼はビザを取得して渡航した。<br> かれはビザをしゅとくしてとこうした。 <br> He obtained a visa and traveled abroad.			
[sound:s8-3147_船は激しい嵐によって難航している。.mp3]	<b>(難航)</b> <br> 船は激しい嵐によって難航している。<br> ふねははげしいあらしによってなんこうしている。 <br> The ship is having difficulty navigating due to the severe storm.			
[sound:s8-3148_航行中にトラブルが発生しました。.mp3]	<b>(航行)</b> <br> 航行中にトラブルが発生しました。<br> こうこうちゅうにトラブルがはっせいしました。 <br> Trouble occurred during the voyage.			
[sound:s8-3149_この航路は商業的に重要です。.mp3]	<b>(航路)</b> <br> この航路は商業的に重要です。<br> このこうろはしょうめいてきにじゅうようです。 <br> This route is commercially important.			
[sound:s8-3150_彼は病気と抗って戦っている。.mp3]	<b>(抗)</b> <br> 彼は病気と抗って戦っている。<br> かれはびょうきとあらがってたたかっている。 <br> He is fighting against the disease.			
[sound:s8-3151_彼女は権力に抵抗し続けた。.mp3]	<b>(抵抗)</b> <br> 彼女は権力に抵抗し続けた。<br> かのじょはけんりょくにていこうしつづけた。 <br> She continued to resist against the authority.			
[sound:s8-3152_市民たちは政府に対して抗議を行った。.mp3]	<b>(抗議)</b> <br> 市民たちは政府に対して抗議を行った。<br> しみんたちはせいふにたいしてこうぎをおこなった。 <br> The citizens protested against the government.			
[sound:s8-3153_彼はライバルとの競争に対抗している。.mp3]	<b>(対抗)</b> <br> 彼はライバルとの競争に対抗している。<br> かれはライバルとのきょうそうにたいこうしている。 <br> He is competing against his rival.			
[sound:s8-3154_地域間の抗争が激化している。.mp3]	<b>(抗争)</b> <br> 地域間の抗争が激化している。<br> ちいきかんのこうそうがげきかしている。 <br> Interregional conflicts are intensifying.			
[sound:s8-3155_この薬は抗生物質なので、医師の指示に従って飲んでください。.mp3]	<b>(抗生物質)</b> <br> この薬は抗生物質なので、医師の指示に従って飲んでください。<br> このくすりはこうせいぶっしつなので、いしのしじにしたがってのんでください。 <br> This medicine is an antibiotic, so please take it as directed by your doctor.			
[sound:s8-3156_彼女の免疫システムは抗体を生成する能力が高い。.mp3]	<b>(抗体)</b> <br> 彼女の免疫システムは抗体を生成する能力が高い。<br> かのじょのめんえきシステムはこうたいをせいせいするのうりょくがたかい。 <br> Her immune system has a high ability to produce antibodies.			
[sound:s8-3157_彼は抗戦しようとしたが、力及ばず降伏した。.mp3]	<b>(抗戦)</b> <br> 彼は抗戦しようとしたが、力及ばず降伏した。<br> かれはこうせんしようとしたが、ちからおよばずこうふくした。 <br> He tried to resist, but surrendered because he couldn't muster enough strength.			
[sound:s8-3158_その地域は日本に対する抗日闘争で有名だ。.mp3]	<b>(抗日)</b> <br> その地域は日本に対する抗日闘争で有名だ。<br> そのちいきはにほんにたいするこうにちとうそうでゆうめいだ。 <br> The region is famous for its resistance against Japan.			
[sound:s8-3159_抗告する権利があります。.mp3]	<b>(抗告)</b> <br> 抗告する権利があります。<br> こうこくするけんりがあります。 <br> You have the right to appeal.			
[sound:s8-3160_抗原の特性を調べる。.mp3]	<b>(抗原)</b> <br> 抗原の特性を調べる。<br> こうげんのとくせいをしらべる。 <br> Investigate the characteristics of the antigen.			
[sound:s8-3161_彼の態度は冷たい。.mp3]	<b>(冷)</b> <br> 彼の態度は冷たい。<br> かれのたいどはつめたい。 <br> His attitude is cold.			
[sound:s8-3162_冷戦時代の歴史を学ぶ。.mp3]	<b>(冷戦)</b> <br> 冷戦時代の歴史を学ぶ。<br> れいせんじだいのれきしをまなぶ。 <br> Learn the history of the Cold War era.			
[sound:s8-3163_冷静に判断する。.mp3]	<b>(冷静)</b> <br> 冷静に判断する。<br> れいせいにはんだんする。 <br> Make a judgment calmly.			
[sound:s8-3164_彼女の視線は冷ややかだ。.mp3]	<b>(冷ややか)</b> <br> 彼女の視線は冷ややかだ。<br> かのじょのしせんはひややかだ。 <br> Her gaze is chilly.			
[sound:s8-3165_エンジンの冷却を行う。.mp3]	<b>(冷却)</b> <br> エンジンの冷却を行う。<br> えんじんのれいきゃくをおこなう。 <br> Perform engine cooling.			
[sound:s8-3166_冷蔵庫に食材を保存する。.mp3]	<b>(冷蔵庫)</b> <br> 冷蔵庫に食材を保存する。<br> れいぞうこにしょくざいをほぞんする。 <br> Store food in the refrigerator.			
[sound:s8-3167_今日は寒くて冷える。.mp3]	<b>(冷え)</b> <br> 今日は寒くて冷える。<br> きょうはさむくてひえる。 <br> It's cold today and chilly.			
[sound:s8-3168_冷凍食品を解凍する。.mp3]	<b>(冷凍)</b> <br> 冷凍食品を解凍する。<br> れいとうしょくひんをかいとうする。 <br> Thaw frozen food.			
[sound:s8-3169_今年は冷夏だった。.mp3]	<b>(冷夏)</b> <br> 今年は冷夏だった。<br> ことしはれいかだった。 <br> This year was a cool summer.			
[sound:s8-3170_部屋を冷房で涼しくする。.mp3]	<b>(冷房)</b> <br> 部屋を冷房で涼しくする。<br> へやをれいぼうですずしくする。 <br> Cool the room with air conditioning.			
[sound:s8-3171_農作物に冷害が及ぶ。.mp3]	<b>(冷害)</b> <br> 農作物に冷害が及ぶ。<br> のうさくぶつにれいがいがおよぶ。 <br> Crops are affected by cold damage.			
[sound:s8-3172_彼女は模特の仕事をしている。.mp3]	<b>(模)</b> <br> 彼女は模特の仕事をしている。<br> かのじょはもてのしごとをしている。 <br> She works as a fashion model.			
[sound:s8-3173_この都市の規模は大きい。.mp3]	<b>(規模)</b> <br> この都市の規模は大きい。<br> このとしのきぼはおおきい。 <br> The scale of this city is large.			
[sound:s8-3174_大規模な改修工事が行われた。.mp3]	<b>(大規模)</b> <br> 大規模な改修工事が行われた。<br> だいきぼなかいしゅうこうじがおこなわれた。 <br> Large-scale renovation work was carried out.			
[sound:s8-3175_壁に模様が描かれている。.mp3]	<b>(模様)</b> <br> 壁に模様が描かれている。<br> かべにもようがかかれている。 <br> Patterns are drawn on the wall.			
[sound:s8-3176_小規模な会議を開く。.mp3]	<b>(小規模)</b> <br> 小規模な会議を開く。<br> しょうきぼなかいぎをひらく。 <br> Hold a small-scale meeting.			
[sound:s8-3177_彼は飛行機の模型を作った。.mp3]	<b>(模型)</b> <br> 彼は飛行機の模型を作った。<br> かれはひこうきのもけいをつくった。 <br> He made a model airplane.			
[sound:s8-3178_解決策を模索する。.mp3]	<b>(模索)</b> <br> 解決策を模索する。<br> かいけつさくをもさくする。 <br> Search for a solution.			
[sound:s8-3179_模擬試験を受ける。.mp3]	<b>(模擬)</b> <br> 模擬試験を受ける。<br> もぎしけんをうける。 <br> Take a practice exam.			
[sound:s8-3180_彼は優れた模範生だ。.mp3]	<b>(模範)</b> <br> 彼は優れた模範生だ。<br> かれはすぐれたもはんせいだ。 <br> He is an excellent role model student.			
[sound:s8-3181_中規模な工場を訪問する。.mp3]	<b>(中規模)</b> <br> 中規模な工場を訪問する。<br> ちゅうきぼなこうじょうをほうもんする。 <br> Visit a medium-sized factory.			
[sound:s8-3182_有名な絵を模写する。.mp3]	<b>(模写)</b> <br> 有名な絵を模写する。<br> ゆうめいなえをもしゃする。 <br> Copy a famous painting.			
[sound:s8-3183_雄のライオンが草原を歩く。.mp3]	<b>(雄)</b> <br> 雄のライオンが草原を歩く。<br> おすのらいおんがそうげんをあるく。 <br> A male lion walks on the savannah.			
[sound:s8-3184_この雄の木は立派だ。.mp3]	<b>(雄)</b> <br> この雄の木は立派だ。<br> このおすのきはりっぱだ。 <br> This male tree is magnificent.			
[sound:s8-3185_彼は戦場で英雄となった。.mp3]	<b>(英雄)</b> <br> 彼は戦場で英雄となった。<br> かれはせんじょうでえいゆうとなった。 <br> He became a hero on the battlefield.			
[sound:s8-3186_彼の雄弁な演説は心に響いた。.mp3]	<b>(雄弁)</b> <br> 彼の雄弁な演説は心に響いた。<br> かれのゆうべんなえんぜつはこころにひびいた。 <br> His eloquent speech resonated with the heart.			
[sound:s8-3187_雄大な山岳風景が広がる。.mp3]	<b>(雄大)</b> <br> 雄大な山岳風景が広がる。<br> ゆうだいなさんがくふうけいがひろがる。 <br> A magnificent mountain landscape spreads out.			
[sound:s8-3188_雌雄の区別をする。.mp3]	<b>(雌雄)</b> <br> 雌雄の区別をする。<br> しうのくべつをする。 <br> Distinguish between male and female.			
[sound:s8-3189_彼は雄姿を誇らしげに見せた。.mp3]	<b>(雄姿)</b> <br> 彼は雄姿を誇らしげに見せた。<br> かれはゆうしをほこらしげにみせた。 <br> He proudly displayed his majestic figure.			
[sound:s8-3190_この植物は雄花と雌花を持つ。.mp3]	<b>(雄花)</b> <br> この植物は雄花と雌花を持つ。<br> このしょくぶつはゆうかとめすかをもつ。 <br> This plant has male and female flowers.			
[sound:s8-3191_両雄の対決が熱い。.mp3]	<b>(両雄)</b> <br> 両雄の対決が熱い。<br> りょうゆうのたいけつがあつい。 <br> The showdown between the two giants is intense.			
[sound:s8-3192_その国では群雄割拠の状態が続いている。.mp3]	<b>(群雄割拠)</b> <br> その国では群雄割拠の状態が続いている。<br> そのくにではぐんゆうかっきょのじょうたいがつづいている。 <br> The state of power struggle among various factions continues in that country.			
[sound:s8-3193_彼は雄たけびをあげて戦場に突入した。.mp3]	<b>(雄たけび)</b> <br> 彼は雄たけびをあげて戦場に突入した。<br> かれはおたけびをあげてせんじょうにとつにゅうした。 <br> He let out a war cry and charged into the battlefield.			
[sound:s8-3194_適切な方法を選択する。.mp3]	<b>(適)</b> <br> 適切な方法を選択する。<br> てきせつなほうほうをせんたくする。 <br> Choose the appropriate method.			
[sound:s8-3195_適切な対処を行う。.mp3]	<b>(適切)</b> <br> 適切な対処を行う。<br> てきせつなたいしょをおこなう。 <br> Take appropriate measures.			
[sound:s8-3196_新しいルールを適用する。.mp3]	<b>(適用)</b> <br> 新しいルールを適用する。<br> あたらしいるーるをてきようする。 <br> Apply the new rule.			
[sound:s8-3197_適時に対応する。.mp3]	<b>(適時)</b> <br> 適時に対応する。<br> てきじにたいおうする。 <br> Respond promptly.			
[sound:s8-3198_適正な価格を設定する。.mp3]	<b>(適正)</b> <br> 適正な価格を設定する。<br> てきせいなかかくをせっていする。 <br> Set a fair price.			
[sound:s8-3199_適当な答えを見つける。.mp3]	<b>(適当)</b> <br> 適当な答えを見つける。<br> てきとうなこたえをみつける。 <br> Find an appropriate answer.			
[sound:s8-3200_快適な生活環境を整える。.mp3]	<b>(快適)</b> <br> 快適な生活環境を整える。<br> かいてきなせいかつかんきょうをととのえる。 <br> Create a comfortable living environment.			
[sound:s8-3201_最適な解決策を見つける。.mp3]	<b>(最適)</b> <br> 最適な解決策を見つける。<br> さいてきなかいけつさくをみつける。 <br> Find the optimal solution.			
[sound:s8-3202_新しい環境に適応する。.mp3]	<b>(適応)</b> <br> 新しい環境に適応する。<br> あたらしいかんきょうにてきおうする。 <br> Adapt to the new environment.			
[sound:s8-3203_適法な手続きを踏む。.mp3]	<b>(適法)</b> <br> 適法な手続きを踏む。<br> てきほうなてつづきをふむ。 <br> Follow legal procedures.			
[sound:s8-3204_その人物が適格かどうか検討する。.mp3]	<b>(適格)</b> <br> その人物が適格かどうか検討する。<br> そのじんぶつがてきかくかどうかけんとうする。 <br> Examine whether the person is suitable or not.			
[sound:s8-3205_専業主婦として働く。.mp3]	<b>(婦)</b> <br> 専業主婦として働く。<br> せんぎょうしゅふとしてはたらく。 <br> Work as a full-time housewife.			
[sound:s8-3206_主婦業をこなす。.mp3]	<b>(主婦)</b> <br> 主婦業をこなす。<br> しゅふぎょうをこなす。 <br> Manage household chores.			
[sound:s8-3207_夫婦円満な関係を築く。.mp3]	<b>(夫婦)</b> <br> 夫婦円満な関係を築く。<br> ふうふえんまんなかんけいをきずく。 <br> Build a harmonious relationship as a married couple.			
[sound:s8-3208_看護婦として働く。.mp3]	<b>(看護婦)</b> <br> 看護婦として働く。<br> かんごふとしてはたらく。 <br> Work as a nurse.			
[sound:s8-3209_婦人の権利を守る。.mp3]	<b>(婦人)</b> <br> 婦人の権利を守る。<br> ふじんのけんりをまもる。 <br> Protect women's rights.			
[sound:s8-3210_産婦人科医に相談する。.mp3]	<b>(産婦人科)</b> <br> 産婦人科医に相談する。<br> さんふじんかいにそうだんする。 <br> Consult an obstetrician and gynecologist.			
